feature,importance,model_label
screen_size_inch,1734.0,LightGBM_baseline
cpu_intel_generation_ord,1176.0,LightGBM_baseline
ram_storage_product_scaled,1160.0,LightGBM_baseline
cpu_tier_encoded,1054.0,LightGBM_baseline
gpu_tier_ord_filled,887.0,LightGBM_baseline
storage_gb,827.0,LightGBM_baseline
ram_gb,737.0,LightGBM_baseline
memory_storage_score,720.0,LightGBM_baseline
cpu_family_ord_filled,651.0,LightGBM_baseline
cpu_suffix_power_ord_filled,613.0,LightGBM_baseline
brand_Dell,328.0,LightGBM_baseline
brand_segment_business,316.0,LightGBM_baseline
cpu_amd_generation_ord,282.0,LightGBM_baseline
ram_storage_balance,276.0,LightGBM_baseline
no_info_gpu,248.0,LightGBM_baseline
condition_score,230.0,LightGBM_baseline
brand_segment_gaming_value,226.0,LightGBM_baseline
cpu_family_group_Intel Core i,226.0,LightGBM_baseline
brand_Lenovo,221.0,LightGBM_baseline
cpu_family_group_Intel Core Ultra,201.0,LightGBM_baseline
brand_HP,188.0,LightGBM_baseline
cpu_brand_Intel,178.0,LightGBM_baseline
no_info_model,177.0,LightGBM_baseline
no_info_cpu_tier,172.0,LightGBM_baseline
warranty_active,141.0,LightGBM_baseline
brand_segment_premium,137.0,LightGBM_baseline
brand_ASUS,137.0,LightGBM_baseline
cpu_brand_Apple,118.0,LightGBM_baseline
warranty_not_activated,111.0,LightGBM_baseline
no_info_brand,87.0,LightGBM_baseline
is_entry_memory_storage,86.0,LightGBM_baseline
storage_ssd,72.0,LightGBM_baseline
cpu_apple_core_spec,71.0,LightGBM_baseline
cpu_brand_AMD,65.0,LightGBM_baseline
brand_Apple,63.0,LightGBM_baseline
model_is_rare,60.0,LightGBM_baseline
model_MacBook Pro,60.0,LightGBM_baseline
brand_MSI,58.0,LightGBM_baseline
brand_Acer,55.0,LightGBM_baseline
model_XPS 13,54.0,LightGBM_baseline
storage_hdd,54.0,LightGBM_baseline
model_ThinkPad,52.0,LightGBM_baseline
brand_is_rare,50.0,LightGBM_baseline
warranty_expired,46.0,LightGBM_baseline
model_TUF Gaming F15,44.0,LightGBM_baseline
no_info_cpu_brand,43.0,LightGBM_baseline
no_info_storage,42.0,LightGBM_baseline
model_Legion 5,35.0,LightGBM_baseline
brand_Microsoft,32.0,LightGBM_baseline
cpu_family_group_Apple Silicon,32.0,LightGBM_baseline
model_Nitro 5,30.0,LightGBM_baseline
model_ProBook,29.0,LightGBM_baseline
model_Gaming Thin GF,28.0,LightGBM_baseline
cpu_family_group_AMD Ryzen,28.0,LightGBM_baseline
model_Latitude E Series,28.0,LightGBM_baseline
model_IdeaPad,27.0,LightGBM_baseline
model_MacBook Air M1,27.0,LightGBM_baseline
brand_LG,27.0,LightGBM_baseline
model_Elitebook,26.0,LightGBM_baseline
model_ROG Strix,22.0,LightGBM_baseline
model_X Series,18.0,LightGBM_baseline
model_ThinkPad X1 Carbon,15.0,LightGBM_baseline
model_Aspire,14.0,LightGBM_baseline
model_MacBook Pro M1,11.0,LightGBM_baseline
cpu_family_group_Intel Low End,7.0,LightGBM_baseline
model_Vostro,5.0,LightGBM_baseline
model_MacBook Air,5.0,LightGBM_baseline
model_Precision,5.0,LightGBM_baseline
model_MacBook Pro M2,4.0,LightGBM_baseline
model_Inspiron,4.0,LightGBM_baseline
cpu_brand_Qualcomm,2.0,LightGBM_baseline
model_Macbook air m4,2.0,LightGBM_baseline
model_Latitude,2.0,LightGBM_baseline
model_Vivobook 15,1.0,LightGBM_baseline
model_Pavilion 15,0.0,LightGBM_baseline
model_MacBook Air M2,0.0,LightGBM_baseline
model_Legion,0.0,LightGBM_baseline
model_Latitude 14 7000,0.0,LightGBM_baseline
model_TUF Gaming,0.0,LightGBM_baseline
model_Elitebook 800,0.0,LightGBM_baseline
is_mid_memory_storage,0.0,LightGBM_baseline
is_premium_memory_storage,0.0,LightGBM_baseline
screen_missing,0.0,LightGBM_baseline
storage_missing,0.0,LightGBM_baseline
ram_missing,0.0,LightGBM_baseline
brand_segment_rare,0.0,LightGBM_baseline
screen_size_inch,2390.0,LightGBM_tuned
ram_storage_product_scaled,1875.0,LightGBM_tuned
cpu_intel_generation_ord,1754.0,LightGBM_tuned
memory_storage_score,1608.0,LightGBM_tuned
cpu_tier_encoded,1604.0,LightGBM_tuned
gpu_tier_ord_filled,1451.0,LightGBM_tuned
storage_gb,1229.0,LightGBM_tuned
ram_gb,1155.0,LightGBM_tuned
cpu_family_ord_filled,1096.0,LightGBM_tuned
cpu_suffix_power_ord_filled,791.0,LightGBM_tuned
ram_storage_balance,403.0,LightGBM_tuned
cpu_amd_generation_ord,380.0,LightGBM_tuned
no_info_gpu,322.0,LightGBM_tuned
brand_segment_gaming_value,317.0,LightGBM_tuned
brand_Lenovo,312.0,LightGBM_tuned
condition_score,310.0,LightGBM_tuned
brand_segment_business,283.0,LightGBM_tuned
cpu_family_group_Intel Core Ultra,273.0,LightGBM_tuned
brand_Dell,270.0,LightGBM_tuned
cpu_family_group_Intel Core i,257.0,LightGBM_tuned
no_info_cpu_tier,242.0,LightGBM_tuned
brand_HP,230.0,LightGBM_tuned
brand_ASUS,229.0,LightGBM_tuned
cpu_brand_Apple,228.0,LightGBM_tuned
cpu_brand_Intel,196.0,LightGBM_tuned
brand_MSI,162.0,LightGBM_tuned
warranty_not_activated,158.0,LightGBM_tuned
brand_segment_premium,153.0,LightGBM_tuned
no_info_model,143.0,LightGBM_tuned
brand_Acer,133.0,LightGBM_tuned
storage_hdd,106.0,LightGBM_tuned
warranty_active,100.0,LightGBM_tuned
cpu_brand_AMD,89.0,LightGBM_tuned
model_TUF Gaming F15,88.0,LightGBM_tuned
cpu_apple_core_spec,86.0,LightGBM_tuned
no_info_cpu_brand,86.0,LightGBM_tuned
model_XPS 13,86.0,LightGBM_tuned
no_info_storage,85.0,LightGBM_tuned
cpu_family_group_AMD Ryzen,83.0,LightGBM_tuned
model_ThinkPad,81.0,LightGBM_tuned
is_entry_memory_storage,81.0,LightGBM_tuned
warranty_expired,80.0,LightGBM_tuned
brand_Microsoft,78.0,LightGBM_tuned
storage_ssd,78.0,LightGBM_tuned
brand_is_rare,77.0,LightGBM_tuned
brand_Apple,76.0,LightGBM_tuned
no_info_brand,70.0,LightGBM_tuned
model_Legion,67.0,LightGBM_tuned
model_MacBook Air M1,67.0,LightGBM_tuned
model_MacBook Pro,66.0,LightGBM_tuned
model_Legion 5,63.0,LightGBM_tuned
brand_LG,63.0,LightGBM_tuned
model_Nitro 5,57.0,LightGBM_tuned
model_is_rare,54.0,LightGBM_tuned
model_ProBook,52.0,LightGBM_tuned
model_Latitude E Series,49.0,LightGBM_tuned
cpu_family_group_Apple Silicon,45.0,LightGBM_tuned
model_Elitebook,45.0,LightGBM_tuned
model_IdeaPad,39.0,LightGBM_tuned
model_X Series,37.0,LightGBM_tuned
model_Precision,36.0,LightGBM_tuned
model_ThinkPad X1 Carbon,35.0,LightGBM_tuned
cpu_brand_Qualcomm,27.0,LightGBM_tuned
model_MacBook Pro M2,23.0,LightGBM_tuned
model_Macbook air m4,23.0,LightGBM_tuned
model_Aspire,22.0,LightGBM_tuned
model_ROG Strix,21.0,LightGBM_tuned
is_mid_memory_storage,20.0,LightGBM_tuned
storage_missing,13.0,LightGBM_tuned
model_Gaming Thin GF,13.0,LightGBM_tuned
brand_segment_rare,12.0,LightGBM_tuned
ram_missing,12.0,LightGBM_tuned
screen_missing,11.0,LightGBM_tuned
model_MacBook Air,11.0,LightGBM_tuned
model_Inspiron,11.0,LightGBM_tuned
cpu_family_group_Intel Low End,10.0,LightGBM_tuned
