experiment_type,experiment_name,model_name,target_used,tuning_stage,evaluation_scale,n_features,train_rows,valid_rows,test_rows,train_time_sec,predict_time_sec,best_iteration,valid_mae,valid_rmse,valid_r2,valid_mape,valid_mape_pct,valid_median_ae,valid_max_error,stage_number,stage_best_rank_metric,valid_log_scale_mae,valid_log_scale_rmse,valid_log_scale_r2,valid_log_scale_mape,valid_log_scale_mape_pct,valid_log_scale_median_ae,valid_log_scale_max_error,test_mae,test_rmse,test_r2,test_mape,test_mape_pct,test_median_ae,test_max_error,test_log_scale_mae,test_log_scale_rmse,test_log_scale_r2,test_log_scale_mape,test_log_scale_mape_pct,test_log_scale_median_ae,test_log_scale_max_error
exploration_result,lgbm_price_1_learning_rate_estimators_0,LightGBM,target_price,stage_1_learning_rate_estimators,target_price,86,4377,1459.0,1460,1.0715765999993891,0.0060558000004675705,247.0,3.3204520571856864,5.446800579955102,0.8735243462943159,0.3070817422657305,30.70817422657305,1.8978372992113322,49.89834676379408,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,lgbm_price_1_learning_rate_estimators_1,LightGBM,target_price,stage_1_learning_rate_estimators,target_price,86,4377,1459.0,1460,1.4524775999998383,0.009301599999162136,416.0,3.321717283296726,5.465687283228261,0.8726457205714205,0.30715510082860414,30.715510082860416,1.9182100830479847,49.913361053179216,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,lgbm_price_1_learning_rate_estimators_2,LightGBM,target_price,stage_1_learning_rate_estimators,target_price,86,4377,1459.0,1460,2.048635999999533,0.013629500001115957,597.0,3.3029358193608678,5.441857839378309,0.873753784730334,0.3056367535976349,30.563675359763494,1.8949695655405563,50.01233581202021,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,lgbm_price_1_learning_rate_estimators_3,LightGBM,target_price,stage_1_learning_rate_estimators,target_price,86,4377,1459.0,1460,2.942390799998975,0.01716850000229897,926.0,3.2901824178932095,5.436039511419181,0.8740236003803562,0.3075494819048062,30.75494819048062,1.8920950727286634,52.32407819284845,,,,,,,,,,,,,,,,,,,,,,,
stage_best_result,lgbm_price_1_learning_rate_estimators_3,LightGBM,target_price,stage_1_learning_rate_estimators,target_price,86,4377,1459.0,1460,2.942390799998975,0.01716850000229897,926.0,3.2901824178932095,5.436039511419181,0.8740236003803562,0.3075494819048062,30.75494819048062,1.8920950727286634,52.32407819284845,1.0,valid_mae,,,,,,,,,,,,,,,,,,,,,
exploration_result,lgbm_price_2_tree_complexity_0,LightGBM,target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,2.9036986000028264,0.04429179999715416,2677.0,3.316860621391039,5.378319506512545,0.8766846386805112,0.3136880949568172,31.36880949568172,1.9813675175465457,50.61320812936023,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,lgbm_price_2_tree_complexity_1,LightGBM,target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,3.878644599997642,0.04642740000053891,2424.0,3.284689728291578,5.370889763073527,0.8770251051269147,0.3078918426108453,30.78918426108453,1.9371379018943815,51.714426614635585,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,lgbm_price_2_tree_complexity_2,LightGBM,target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,1.5419264000011026,0.02490369999941322,1250.0,3.2820033158320103,5.446828359524127,0.8735230561982088,0.3043016218040172,30.43016218040172,1.8870171784902787,51.4480591685614,,,,,,,,,,,,,,,,,,,,,,,
exploration_result,lgbm_price_2_tree_complexity_3,LightGBM,target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,3.8295453999999154,0.029511100001400337,908.0,3.3459012594231368,5.5257383066259225,0.8698318869147965,0.3091530108574181,30.91530108574181,1.8876909060917058,53.524433871769205,,,,,,,,,,,,,,,,,,,,,,,
stage_best_result,lgbm_price_2_tree_complexity_2,LightGBM,target_price,stage_2_tree_complexity,target_price,86,4377,1459.0,1460,1.5419264000011026,0.02490369999941322,1250.0,3.2820033158320103,5.446828359524127,0.8735230561982088,0.3043016218040172,30.43016218040172,1.8870171784902787,51.4480591685614,2.0,valid_mae,,,,,,,,,,,,,,,,,,,,,
