model_name,model_type,target_used,evaluation_scale,mae,rmse,r2,mape,median_ae,max_error,train_time_sec,predict_time_sec
CatBoost,gradient_boosting,log_target_price,target_price,3252280.8662688956,5157061.389298136,0.8929831479949323,0.27705677343785107,1916663.0917351246,37608943.31337507,1.1344185000052676,0.0021672000002581626
CatBoost,gradient_boosting,target_price,target_price,3362703.2338553737,5162384.405903962,0.8927621126302916,0.3314273352771351,2039510.9310304634,36580025.338281915,1.1832982999912929,0.004818700021132827
LightGBM,gradient_boosting,target_price,target_price,3371062.798178457,5322802.434210057,0.8859938544464849,0.31597817605056766,2007119.7696283516,38350151.43406585,0.5240007999818772,0.010231199994450435
LightGBM,gradient_boosting,log_target_price,target_price,3309789.3388379756,5407378.823637586,0.8823420814857869,0.2770027707092308,1868291.6436156435,40782927.37849878,0.36950400000205263,0.011060499993618578
Random Forest,tree_ensemble,target_price,target_price,3412705.044036237,5526455.576164899,0.8771030978354617,0.312385154820413,1915382.629992783,48433650.0,1.3356014000019059,0.15689089999068528
Random Forest,tree_ensemble,log_target_price,target_price,3367907.0406807004,5530209.965371854,0.8769360614689007,0.2901305487165275,1899621.9827742167,38524138.48984881,1.2858138000010513,0.11066350000328384
Extra Trees,tree_ensemble,log_target_price,target_price,3670282.7919554,6143809.80920682,0.8481121288278022,0.3142722774001583,1994764.5704285335,57489239.15073919,1.4722882000205573,0.1392782999901101
Extra Trees,tree_ensemble,target_price,target_price,3766407.0974754076,6361692.695952633,0.83714805787505,0.33568497291114435,2000000.0,68972766.66666667,1.390831899974728,0.1240447000018321
ElasticNet,linear,target_price,target_price,4340622.398895402,6784919.88758937,0.8147590423895593,0.4448535266074479,2705409.5432369933,77725809.66481149,2.998239599983208,0.004798500012839213
Ridge,linear,target_price,target_price,4340805.333157824,6786909.309191629,0.8146503966291274,0.44498028348622914,2714108.6219900884,77900063.26544648,0.021510299993678927,0.005132499994942918
Lasso,linear,target_price,target_price,4340923.255775972,6787956.823519818,0.8145931772558365,0.44504980069957584,2712771.517866146,77991070.14797178,2.710316700016847,0.0019281999848317355
Linear Regression,linear,target_price,target_price,4349698.976273935,6794584.80837186,0.8142309258152527,0.44598184643228966,2671820.6881953143,78068972.68819532,0.16364859999157488,0.002653400006238371
Lasso,linear,log_target_price,target_price,4386154.376945914,7449210.364294525,0.776710630779044,0.3652020251603621,2315804.8129744604,69077074.25769483,0.22401360000367276,0.003380000009201467
ElasticNet,linear,log_target_price,target_price,4382125.432333862,7456199.740753118,0.7762914224221569,0.36500259073219693,2325284.0071494896,70506139.3141002,1.0084811999986414,0.004790700011653826
Ridge,linear,log_target_price,target_price,4380500.417776085,7459288.965164209,0.7761060118411844,0.36479746349604114,2289434.2716041636,71429187.00085753,0.013752800005022436,0.002450100000714883
Linear Regression,linear,log_target_price,target_price,4402312.394285354,7559818.108556859,0.770030488907154,0.364603649126623,2295993.890790782,72496033.39050645,0.25778889999492094,0.005587399995420128
