model_name,model_type,target_used,evaluation_scale,mae,rmse,r2,mape,median_ae,max_error,train_time_sec,predict_time_sec
CatBoost,gradient_boosting,target_price,target_price,3.2820899750114747,5.313574561402567,0.8938679766682358,0.2896714410985555,1.9462857283077193,36.205810597040966,2.1304417999999714,0.004843399998208042
LightGBM,gradient_boosting,target_price,target_price,3.2282182193286975,5.360098608407447,0.892001320748292,0.2742093281484474,1.8418534101590613,33.90058505934267,0.42433099999834667,0.009667499998613494
LightGBM,gradient_boosting,log_target_price,target_price,3.1921188149934183,5.406747413962156,0.890113321070016,0.25281898215718096,1.7387543388473214,34.14284815031888,0.36528270000053453,0.010086599999340251
Random Forest,tree_ensemble,target_price,target_price,3.3772253763624005,5.659632895335783,0.8795936448462943,0.2910534367087497,1.886445357310472,45.28873388888883,1.4133844999996654,0.08139370000208146
CatBoost,gradient_boosting,log_target_price,target_price,3.2639763776213173,5.699229643031311,0.8779029421476837,0.25320728967308,1.7070000092995394,44.704819753340246,1.7174615000003541,0.00339209999947343
Random Forest,tree_ensemble,log_target_price,target_price,3.3306116284276506,5.727205597149081,0.8767013182545361,0.2676081482931505,1.8324012535374343,53.00411587849334,1.3346156000006886,0.14307489999919198
Extra Trees,tree_ensemble,target_price,target_price,3.5385503451046696,6.099129243994825,0.8601673595589291,0.30122200922836156,2.0345150000000194,62.361909999999995,1.633678999998665,0.08546550000028219
Extra Trees,tree_ensemble,log_target_price,target_price,3.5130094240591387,6.123089036712582,0.8590665657512306,0.2869968779072109,1.8988928167168844,60.12167989476592,1.5808887999992294,0.09817260000272654
Linear Regression,linear,target_price,target_price,4.1892557062232445,6.708475902193348,0.8308310655603007,0.3875067936958574,2.5250781250000003,54.54561027781756,0.07141979999869363,0.0027269999991403893
Ridge,linear,target_price,target_price,4.18987266503759,6.711878406400973,0.8306594188286769,0.38802906608237375,2.5116691508237103,54.65555783945621,0.01744719999987865,0.0019243000024289358
Lasso,linear,target_price,target_price,4.189177317290273,6.7126919569041075,0.8306183646092513,0.3877798301847624,2.5069355404449682,54.65426798934317,1.5092435000005935,0.001974899998458568
ElasticNet,linear,target_price,target_price,4.188016743225647,6.7140959819560155,0.8305475015540943,0.3873687854420687,2.512400633779014,54.65723236291551,1.3788184000004549,0.004018100000394043
Lasso,linear,log_target_price,target_price,3.9789584023377307,7.021788769890677,0.814660320648908,0.3025208897511775,2.112102165205548,80.91651375347466,0.1701755000030971,0.0020652000021073036
ElasticNet,linear,log_target_price,target_price,3.984307437002156,7.104901610285612,0.8102468378635226,0.3017434636330047,2.0957728299635816,84.97928548953057,0.4468031000033079,0.0018517000025894959
Ridge,linear,log_target_price,target_price,3.9932538090068994,7.274935275486983,0.8010558591161228,0.3000330047567232,2.11994089368375,93.93172265999674,0.018220199999632314,0.0023492000000260305
Linear Regression,linear,log_target_price,target_price,4.010306931699316,7.311260182746007,0.7990641797286526,0.3005940423743706,2.133566189362115,93.9838632052617,0.02875779999885708,0.0018891999970946927
