model_name,model_type,target_used,evaluation_scale,mae,rmse,r2,mape,median_ae,max_error,train_time_sec,predict_time_sec
CatBoost,gradient_boosting,target_price,target_price,3.3708874265773,5.482668796037199,0.8870056031750053,0.3001381413148527,2.0150165645686773,36.62053178264939,2.2054289000225253,0.008088900009170175
LightGBM,gradient_boosting,target_price,target_price,3.2903954452907707,5.498080284880838,0.8863694679427716,0.28165848495817153,1.8932505030758713,39.60957586807036,2.3580224000033922,0.013116299989633262
LightGBM,gradient_boosting,log_target_price,target_price,3.2534667368335852,5.529972729464496,0.8850473824479749,0.2626856423207473,1.8255332293339102,40.91059625785978,2.043612600013148,0.0161404000245966
Random Forest,tree_ensemble,target_price,target_price,3.408452962570801,5.687029791255559,0.8784251080571819,0.30213442034677845,1.9347377146927147,46.851322222222215,5.68037000001641,0.19336289999773726
CatBoost,gradient_boosting,log_target_price,target_price,3.336972207129124,5.740718825939275,0.8761187902110085,0.2620698288739145,1.8085735454958645,43.01014415070941,2.404766699997708,0.006769199972040951
Random Forest,tree_ensemble,log_target_price,target_price,3.413371326863326,5.845638210711047,0.8715492181732417,0.28303074121276567,1.87783332108254,49.382765474376676,4.426474800042342,1.790039500046987
Extra Trees,tree_ensemble,target_price,target_price,3.544157580436593,5.938560212216959,0.8674330653760204,0.3094918120127138,2.042857124999979,61.297253333333344,5.707879599998705,0.3622107999981381
Extra Trees,tree_ensemble,log_target_price,target_price,3.5166026267846187,6.031663460147681,0.8632437796405956,0.29359335731049513,1.9809780884794272,62.75492111053889,2.884121800016146,0.1458834000513889
Linear Regression,linear,log_target_price,target_price,4.073571364352324,6.926038688234564,0.819680492739666,0.3190565431178264,2.1951211370922326,48.64591278742033,2.625810300000012,0.006683100014925003
Lasso,linear,log_target_price,target_price,4.080703650824235,6.942537520305167,0.8188203748807095,0.31961241459317674,2.185214410781989,50.27171681033984,0.2768385999952443,0.0018791999900713563
ElasticNet,linear,log_target_price,target_price,4.080683713166899,6.943652016400493,0.8187622001307021,0.3193969989722479,2.163436620231507,50.0881181597464,0.6862149000517093,0.004106299951672554
Ridge,linear,log_target_price,target_price,4.08681591563627,6.960178250277927,0.8178984637001014,0.3192540433275852,2.179749505674,50.029822028530205,0.10609549999935552,0.004560799978207797
ElasticNet,linear,target_price,target_price,4.718709847403415,7.924643994647344,0.7639345616401072,0.4257758104923688,2.805101381259148,73.81746753397354,65.13248109997949,0.01513889996567741
Ridge,linear,target_price,target_price,4.720131175851444,7.9248626679770675,0.7639215334390439,0.4259545165228811,2.80713279482016,73.81246434028606,0.13387299998430535,0.003716600011102855
Lasso,linear,target_price,target_price,4.719685129824713,7.925033700358786,0.7639113433575739,0.42586999525761193,2.814036163098431,73.8232649001205,3.558053199958522,0.002105600025970489
Linear Regression,linear,target_price,target_price,4.724131668348905,7.933391687972587,0.763413107853351,0.427434405901031,2.8197342304371853,73.9940938945628,1.8694642000482418,0.004595800011884421
