model,target,n,mae,rmse,mape,median_absolute_error,mean_residual,median_residual,underprediction_rate,overprediction_rate,severe_error_rate,extreme_error_rate,r2,scope,segment,feature_set,metric_scale
CatBoost,target_price,1442,3.5248640578912074,5.480940993204861,0.3324395295242088,2.167758147262572,-0.14947610972243613,-0.3598631383825457,0.44660194174757284,0.5533980582524272,0.16920943134535368,0.05131761442441054,0.8747545973040145,global,All,clean_v0,price
CatBoost,target_price,364,1.8102021019037793,2.77615827770728,0.6050667260587848,1.1930083113953978,-1.523343702868069,-1.0278931198559689,0.22527472527472528,0.7747252747252747,0.3901098901098901,0.16483516483516483,-3.7552542497228893,segment,Low,clean_v0,price
CatBoost,target_price,365,2.3442751978732863,3.191856586726417,0.2968385391518521,1.7794779372548977,-1.009704945717625,-0.5923064567391911,0.4273972602739726,0.5726027397260274,0.14794520547945206,0.0273972602739726,-4.165315154007232,segment,Mid,clean_v0,price
CatBoost,target_price,355,3.3202142492814333,4.4163398976755674,0.23182749339030526,2.596123418305824,-0.4977647082487813,0.3938032554154791,0.5352112676056338,0.4647887323943662,0.10422535211267606,0.005633802816901409,-2.4474973598733953,segment,High,clean_v0,price
CatBoost,target_price,358,6.674871230914769,9.134439722749761,0.19130917973331588,4.922172405588949,2.4698361291605435,1.7364568009590684,0.6033519553072626,0.39664804469273746,0.030726256983240222,0.00558659217877095,0.7785699880080743,segment,Premium,clean_v0,price
CatBoost,log_target_price,1442,3.404830721903086,5.524164444856641,0.2868073511469064,1.981408913580057,0.5592344487926189,0.031202917564170374,0.5055478502080444,0.4944521497919556,0.12274618585298197,0.030513176144244106,0.8727714033348113,global,All,clean_v0,price
CatBoost,log_target_price,364,1.4014491535978586,2.0955294075097988,0.4564580884671697,0.9288409366464523,-1.0288644208167321,-0.7602664694377492,0.2802197802197802,0.7197802197802198,0.29395604395604397,0.0989010989010989,-1.7093980635204638,segment,Low,clean_v0,price
CatBoost,log_target_price,365,2.108375210898683,2.855577622570313,0.2673779848479793,1.6684768337342035,-0.5506795531172629,-0.21347452686463786,0.4712328767123288,0.5287671232876713,0.09041095890410959,0.01643835616438356,-3.13426227769072,segment,Mid,clean_v0,price
CatBoost,log_target_price,355,3.201921945255938,4.118385667222603,0.22395212484450744,2.58662549701922,0.19920986077805652,0.7314251489092101,0.5915492957746479,0.4084507042253521,0.07323943661971831,0.0028169014084507044,-1.998009385165576,segment,High,clean_v0,price
CatBoost,log_target_price,358,6.964802141147352,9.660248997243924,0.19645108201809133,5.047946019014476,3.6625733537649103,2.546975618841781,0.6843575418994413,0.31564245810055863,0.030726256983240222,0.002793296089385475,0.752343747811582,segment,Premium,clean_v0,price
