feature,dtype,missing_rate,n_unique,group,example_values
brand_is_rare,int64,0.0,2,brand,"['0', '0', '0']"
no_info_brand,int64,0.0,2,brand,"['0', '0', '0']"
no_info_cpu_brand,int64,0.0,2,brand,"['0', '0', '0']"
brand_ASUS,int64,0.0,2,brand,"['0', '0', '0']"
brand_Acer,int64,0.0,2,brand,"['0', '1', '0']"
brand_Apple,int64,0.0,2,brand,"['0', '0', '0']"
brand_Dell,int64,0.0,2,brand,"['1', '0', '0']"
brand_Gigabyte,int64,0.0,2,brand,"['0', '0', '0']"
brand_HP,int64,0.0,2,brand,"['0', '0', '1']"
brand_LG,int64,0.0,2,brand,"['0', '0', '0']"
brand_Lenovo,int64,0.0,2,brand,"['0', '0', '0']"
brand_MSI,int64,0.0,2,brand,"['0', '0', '0']"
brand_Microsoft,int64,0.0,2,brand,"['0', '0', '0']"
brand_Other,int64,0.0,2,brand,"['0', '0', '0']"
brand_Sony,int64,0.0,2,brand,"['0', '0', '0']"
brand_Toshiba,int64,0.0,2,brand,"['0', '0', '0']"
cpu_brand_AMD,int64,0.0,2,brand,"['0', '0', '0']"
cpu_brand_Apple,int64,0.0,2,brand,"['0', '0', '0']"
cpu_brand_Intel,int64,0.0,2,brand,"['1', '1', '1']"
cpu_brand_Microsoft SQ,int64,0.0,2,brand,"['0', '0', '0']"
cpu_brand_Other,int64,0.0,2,brand,"['0', '0', '0']"
cpu_brand_Qualcomm,int64,0.0,2,brand,"['0', '0', '0']"
cpu_intel_generation_ord,int64,0.0,16,cpu,"['0', '0', '0']"
cpu_tier_encoded,int64,0.0,9,cpu,"['6', '3', '6']"
cpu_amd_generation_ord,int64,0.0,9,cpu,"['0', '0', '0']"
cpu_family_ord_filled,int64,0.0,6,cpu,"['-1', '-1', '-1']"
cpu_suffix_power_ord_filled,int64,0.0,5,cpu,"['0', '0', '0']"
condition_score,int64,0.0,3,cpu,"['2', '2', '2']"
no_info_cpu_tier,int64,0.0,2,cpu,"['0', '0', '0']"
cpu_family_group_AMD Ryzen,int64,0.0,2,cpu,"['0', '0', '0']"
cpu_family_group_Apple Silicon,int64,0.0,2,cpu,"['0', '0', '0']"
cpu_family_group_Intel Core Ultra,int64,0.0,2,cpu,"['0', '0', '0']"
cpu_family_group_Intel Core i,int64,0.0,2,cpu,"['0', '0', '0']"
cpu_family_group_Intel Low End,int64,0.0,2,cpu,"['0', '0', '0']"
cpu_apple_core_spec,int64,0.0,2,cpu,"['0', '0', '0']"
cpu_qualcomm_snapdragon_spec,int64,0.0,2,cpu,"['0', '0', '0']"
gpu_tier_ord_filled,int64,0.0,7,gpu,"['0', '0', '0']"
no_info_gpu,int64,0.0,2,gpu,"['0', '0', '0']"
gpu_type_Apple SoC,int64,0.0,2,gpu,"['0', '0', '0']"
gpu_type_Dedicated,int64,0.0,2,gpu,"['0', '0', '0']"
gpu_type_Integrated,int64,0.0,2,gpu,"['1', '1', '1']"
gpu_type_Missing_Info,int64,0.0,2,gpu,"['0', '0', '0']"
warranty_encoded,int64,0.0,3,other,"['1', '1', '1']"
model_is_rare,int64,0.0,2,other,"['0', '0', '0']"
no_info_model,int64,0.0,2,other,"['0', '1', '1']"
model_Aspire,int64,0.0,2,other,"['0', '0', '0']"
model_Elitebook,int64,0.0,2,other,"['0', '0', '0']"
model_Elitebook 800,int64,0.0,2,other,"['0', '0', '0']"
model_Gaming Thin GF,int64,0.0,2,other,"['0', '0', '0']"
model_IdeaPad,int64,0.0,2,other,"['0', '0', '0']"
model_Inspiron,int64,0.0,2,other,"['0', '0', '0']"
model_Latitude,int64,0.0,2,other,"['1', '0', '0']"
model_Latitude 14 7000,int64,0.0,2,other,"['0', '0', '0']"
model_Latitude E Series,int64,0.0,2,other,"['0', '0', '0']"
model_Legion,int64,0.0,2,other,"['0', '0', '0']"
model_Legion 5,int64,0.0,2,other,"['0', '0', '0']"
model_MacBook Air,int64,0.0,2,other,"['0', '0', '0']"
model_MacBook Air M1,int64,0.0,2,other,"['0', '0', '0']"
model_MacBook Air M2,int64,0.0,2,other,"['0', '0', '0']"
model_MacBook Pro,int64,0.0,2,other,"['0', '0', '0']"
model_MacBook Pro M1,int64,0.0,2,other,"['0', '0', '0']"
model_MacBook Pro M2,int64,0.0,2,other,"['0', '0', '0']"
model_Macbook air m4,int64,0.0,2,other,"['0', '0', '0']"
model_Nitro 5,int64,0.0,2,other,"['0', '0', '0']"
model_Other,int64,0.0,2,other,"['0', '1', '1']"
model_Pavilion 15,int64,0.0,2,other,"['0', '0', '0']"
model_Precision,int64,0.0,2,other,"['0', '0', '0']"
model_ProBook,int64,0.0,2,other,"['0', '0', '0']"
model_ROG Strix,int64,0.0,2,other,"['0', '0', '0']"
model_TUF Gaming,int64,0.0,2,other,"['0', '0', '0']"
model_TUF Gaming F15,int64,0.0,2,other,"['0', '0', '0']"
model_ThinkPad,int64,0.0,2,other,"['0', '0', '0']"
model_ThinkPad X1 Carbon,int64,0.0,2,other,"['0', '0', '0']"
model_Vivobook 15,int64,0.0,2,other,"['0', '0', '0']"
model_Vostro,int64,0.0,2,other,"['0', '0', '0']"
model_X Series,int64,0.0,2,other,"['0', '0', '0']"
model_XPS 13,int64,0.0,2,other,"['0', '0', '0']"
ram_gb,float64,0.0,19,ram,"['16.0', '8.0', '8.0']"
ram_missing,int64,0.0,2,ram,"['0', '0', '0']"
screen_size_inch,float64,0.0,46,screen,"['13.95', '15.95', '11.95']"
screen_missing,int64,0.0,2,screen,"['0', '0', '0']"
storage_gb,float64,0.0,31,storage,"['256.0', '127.0', '512.0']"
storage_missing,int64,0.0,2,storage,"['0', '0', '0']"
storage_ssd,int64,0.0,2,storage,"['1', '1', '1']"
storage_hdd,int64,0.0,2,storage,"['0', '0', '0']"
no_info_storage,int64,0.0,2,storage,"['0', '0', '0']"
