model,target,n,mae,rmse,mape,median_absolute_error,mean_residual,median_residual,underprediction_rate,overprediction_rate,severe_error_rate,extreme_error_rate,r2,scope,segment,dropped_group,n_features_removed,n_features_kept,mae_delta_vs_baseline
CatBoost,target_price,1442,3.7633986600536256,5.890551256607133,0.35402983868869553,2.2786075425441776,-0.18587857068068617,-0.4557588142796898,0.4403606102635229,0.5596393897364771,0.19764216366158113,0.057558945908460474,0.8553350174318956,global,All,brand,22,54,0.28295872365072805
CatBoost,target_price,364,1.9575456880331032,2.929474211135292,0.6371498752540322,1.3191477141770567,-1.5817265949313803,-1.0966623284880166,0.23901098901098902,0.760989010989011,0.40934065934065933,0.17032967032967034,-4.2949840309495855,segment,Low,brand,22,54,
CatBoost,target_price,355,3.4150826141146853,4.702500045068929,0.24034541581138777,2.4978493927806866,-0.7649291405013319,0.03306112097030045,0.504225352112676,0.49577464788732395,0.1323943661971831,0.016901408450704224,-2.908738146538254,segment,High,brand,22,54,
CatBoost,target_price,358,7.163532348764715,9.838322910748527,0.21044253496694715,5.439799109809217,3.052202435279612,2.288113353155474,0.6368715083798883,0.36312849162011174,0.055865921787709494,0.00558659217877095,0.7431291631906485,segment,Premium,brand,22,54,
CatBoost,target_price,1442,3.7950256561508606,5.923215067641718,0.35561023426384647,2.3255628831579163,-0.04174889182549395,-0.3915118767248329,0.4389736477115118,0.5610263522884882,0.1823855755894591,0.054785020804438284,0.853726199971179,global,All,cpu,3,73,0.3145857197479631
CatBoost,target_price,364,1.9355991430395372,3.2006273140793637,0.6458593676720664,1.2079473974043855,-1.612090258377528,-1.081536684529315,0.21153846153846154,0.7884615384615384,0.39285714285714285,0.1813186813186813,-5.320559306193445,segment,Low,cpu,3,73,
CatBoost,target_price,355,3.5384480645756673,4.646144320632332,0.2463175740172508,2.7033435007016333,-0.6984309715518143,-0.07098947516830201,0.49014084507042255,0.5098591549295775,0.11830985915492957,0.005633802816901409,-2.815613285793748,segment,High,cpu,3,73,
CatBoost,target_price,358,7.2304610269663065,9.894250893724474,0.2062143396753738,5.355946794533029,3.3986938975149594,2.726141527025071,0.6480446927374302,0.35195530726256985,0.05027932960893855,0.002793296089385475,0.7402003912992978,segment,Premium,cpu,3,73,
CatBoost,target_price,1442,3.753851306582,5.90433976318453,0.34179542432139454,2.2116298116392556,-0.1932868751223576,-0.4135090608641532,0.4459084604715673,0.5540915395284327,0.1768377253814147,0.052011095700416086,0.8546569658968926,global,All,gpu,6,70,0.27341137017910233
CatBoost,target_price,364,1.7822864206079638,2.7117292152050676,0.5908432985242486,1.215420235405615,-1.448614420900613,-1.0848802564492002,0.23351648351648352,0.7664835164835165,0.39285714285714285,0.14835164835164835,-3.537095664902619,segment,Low,gpu,6,70,
CatBoost,target_price,355,3.6224419814671083,4.938706847969327,0.2528401426574574,2.7754352658101986,-0.7020769198951874,0.22285492719722022,0.5211267605633803,0.4788732394366197,0.11830985915492957,0.01971830985915493,-3.3112723277969316,segment,High,gpu,6,70,
CatBoost,target_price,358,7.239491494897037,9.874816703641756,0.2123095674418361,5.289478645146872,2.5295517585549554,1.8897453896473309,0.6201117318435754,0.37988826815642457,0.055865921787709494,0.00558659217877095,0.7412199806426444,segment,Premium,gpu,6,70,
CatBoost,target_price,1442,3.666775666334296,5.655094573723403,0.34813557865839867,2.2741350921027026,0.013462028301811781,-0.301556498129921,0.45700416088765605,0.542995839112344,0.17128987517337033,0.05894590846047157,0.8666689543942689,global,All,other,36,40,0.18633572993139857
CatBoost,target_price,364,1.864197819391982,2.829792578986529,0.6326902404017533,1.2257954544422112,-1.5614111191195454,-1.0840016538733284,0.25,0.75,0.37362637362637363,0.18956043956043955,-3.9407684719348692,segment,Low,other,36,40,
CatBoost,target_price,355,3.2222498675934204,4.182708056300581,0.22717604123077614,2.5400288747674296,-0.36697833204352365,0.17601309549243638,0.5295774647887324,0.4704225352112676,0.09295774647887324,0.0028169014084507044,-2.0923886183532088,segment,High,other,36,40,
CatBoost,target_price,358,7.074757375949458,9.546035336400859,0.203990487406163,5.105409572344355,3.220785060764353,2.7283307409697706,0.6452513966480447,0.3547486033519553,0.036312849162011177,0.002793296089385475,0.7581652365410598,segment,Premium,other,36,40,
CatBoost,target_price,1442,3.791053170294593,5.996346482012341,0.36725704153483846,2.2388847168259067,-0.1947990270601023,-0.45104303109924615,0.435506241331484,0.5644937586685159,0.1914008321775312,0.06171983356449376,0.8500919416481707,global,All,ram,2,74,0.3106132338916954
CatBoost,target_price,364,2.223385054806436,3.325342451651225,0.7245093926065052,1.45244762629944,-1.8557259405165936,-1.2718244599004938,0.20604395604395603,0.7939560439560439,0.4340659340659341,0.20604395604395603,-5.8227278721435125,segment,Low,ram,2,74,
CatBoost,target_price,355,3.4521021037522255,4.545662207732671,0.2416431296844272,2.6200675424365496,-0.32349370843406233,0.3822908418624529,0.532394366197183,0.4676056338028169,0.11549295774647887,0.005633802816901409,-2.6523574954442526,segment,High,ram,2,74,
CatBoost,target_price,358,7.280223975915669,10.098088531285729,0.2094145064664463,5.348255896120172,2.441415748713067,1.894731920255225,0.5977653631284916,0.4022346368715084,0.061452513966480445,0.002793296089385475,0.7293855375986416,segment,Premium,ram,2,74,
CatBoost,target_price,1442,3.578307106841888,5.567059431209975,0.3333047294977547,2.1670768482830756,-0.21041112118883734,-0.4629431823011325,0.43966712898751736,0.5603328710124826,0.1622746185852982,0.049930651872399444,0.8707878789408156,global,All,screen,2,74,0.0978671704389904
CatBoost,target_price,364,1.828353345358625,2.77194520944643,0.6040537309209913,1.188816300885386,-1.526977380490823,-1.0403945317924057,0.21153846153846154,0.7884615384615384,0.3873626373626374,0.15934065934065933,-3.7408321549453643,segment,Low,screen,2,74,
CatBoost,target_price,355,3.400295440059463,4.558877794958188,0.23766692810317566,2.628356796310859,-0.5989789706652907,0.32794001475854984,0.5352112676056338,0.4647887323943662,0.09577464788732394,0.008450704225352112,-2.6736253378894914,segment,High,screen,2,74,
CatBoost,target_price,358,6.852691243502924,9.29093453690526,0.19795782114950275,5.37615216618866,2.2973705456438456,1.8540297359496005,0.5977653631284916,0.4022346368715084,0.036312849162011177,0.002793296089385475,0.7709177419944089,segment,Premium,screen,2,74,
CatBoost,target_price,1442,3.725446277687549,5.793869604873902,0.3644314478438661,2.409046985848427,-0.06190882647339074,-0.38463006783749853,0.4507628294036061,0.5492371705963939,0.18169209431345354,0.06657420249653259,0.8600448209869547,global,All,storage,5,71,0.2450063412846517
CatBoost,target_price,364,2.0676478068119852,2.9223514039307146,0.701060563063617,1.3474143863938162,-1.7787808340675124,-1.237767058310351,0.19230769230769232,0.8076923076923077,0.4423076923076923,0.21978021978021978,-4.269266583488167,segment,Low,storage,5,71,
CatBoost,target_price,355,3.4453227111427887,4.660162101584208,0.24076114214224603,2.48310915329364,-0.4126377048925573,0.48768773080865024,0.5521126760563381,0.447887323943662,0.10422535211267606,0.016901408450704224,-2.8386720260801774,segment,High,storage,5,71,
CatBoost,target_price,358,7.0059645766242795,9.694355158865337,0.200295472420156,5.227404665561993,2.904834903838778,2.454265803333458,0.6256983240223464,0.3743016759776536,0.030726256983240222,0.002793296089385475,0.7505919265449906,segment,Premium,storage,5,71,
CatBoost,log_target_price,1442,3.726248582605122,6.114742104907112,0.3093519039765787,2.1677373638323134,0.5847674590207391,-0.031865819113992,0.49514563106796117,0.5048543689320388,0.1553398058252427,0.03744798890429958,0.8441137426439407,global,All,brand,22,54,0.36164780657732276
CatBoost,log_target_price,364,1.505573645098057,2.2567860486688804,0.48548804139049384,1.0851352128165952,-1.1115938998652082,-0.8096988454282552,0.26373626373626374,0.7362637362637363,0.31868131868131866,0.10989010989010989,-2.1424333346005584,segment,Low,brand,22,54,
CatBoost,log_target_price,355,3.384907737601918,4.447997544693976,0.23708780397950183,2.727960997679874,-0.06027363366690126,0.4570548056332413,0.5690140845070423,0.4309859154929577,0.09859154929577464,0.0028169014084507044,-2.4970998949672634,segment,High,brand,22,54,
CatBoost,log_target_price,358,7.796066611250525,10.774338096138889,0.223964856483967,5.566813564228161,4.297381714668108,3.4727526788640866,0.6927374301675978,0.30726256983240224,0.06983240223463687,0.00558659217877095,0.6919268466053419,segment,Premium,brand,22,54,
