feature,feature_group,mean_high_error,mean_other_rows,std_mean_diff,missing_rate_high_error,missing_rate_other_rows,missing_rate_delta,n_unique_high_error,n_unique_other_rows,abs_std_mean_diff,abs_missing_rate_delta
storage_gb,storage,929.4625,437.192480359147,1.2853228440347648,0.0,0.0,0.0,10,31,1.2853228440347648,0.0
no_info_condition,other,0.775,0.25308641975308643,1.1914490789080114,0.0,0.0,0.0,2,2,1.1914490789080114,0.0
warranty_encoded,other,1.775,1.1929012345679013,1.1026461776070386,0.0,0.0,0.0,2,3,1.1026461776070386,0.0
ram_gb,ram,24.25,13.290965207631874,1.0876116689372428,0.0,0.0,0.0,8,19,1.0876116689372428,0.0
gpu_tier_ord_filled,gpu,1.3625,0.32758136924803594,0.7991319283148242,0.0,0.0,0.0,7,7,0.7991319283148242,0.0
no_info_model,other,0.9125,0.6473063973063973,0.5560499342380942,0.0,0.0,0.0,2,2,0.5560499342380942,0.0
model_Other,other,0.9125,0.6473063973063973,0.5560499342380942,0.0,0.0,0.0,2,2,0.5560499342380942,0.0
gpu_type_Dedicated,gpu,0.4625,0.24803591470258138,0.494974855663599,0.0,0.0,0.0,2,2,0.494974855663599,0.0
gpu_type_Apple SoC,gpu,0.0625,0.01430976430976431,0.39846672028282126,0.0,0.0,0.0,2,2,0.39846672028282126,0.0
gpu_type_Integrated,gpu,0.3,0.4744668911335578,-0.34943732674896183,0.0,0.0,0.0,2,2,0.34943732674896183,0.0
model_is_rare,other,0.0125,0.11531986531986532,-0.32328184222520023,0.0,0.0,0.0,2,2,0.32328184222520023,0.0
screen_size_inch,screen,14.4725,12.871582491582489,0.31116199148114165,0.0,0.0,0.0,21,46,0.31116199148114165,0.0
cpu_brand_Apple,brand,0.1375,0.07084736251402918,0.2585229913371869,0.0,0.0,0.0,2,2,0.2585229913371869,0.0
cpu_tier_encoded,cpu,5.2125,4.756172839506172,0.2582510841020111,0.0,0.0,0.0,6,9,0.2582510841020111,0.0
screen_missing,screen,0.05,0.13173400673400673,-0.2423656427892367,0.0,0.0,0.0,2,2,0.2423656427892367,0.0
model_Latitude,other,0.0,0.051206509539842876,-0.23352862445146041,0.0,0.0,0.0,1,2,0.23352862445146041,0.0
brand_MSI,brand,0.0875,0.04194725028058362,0.22591811559480446,0.0,0.0,0.0,2,2,0.22591811559480446,0.0
no_info_cpu_tier,cpu,0.1375,0.07898428731762065,0.21612921150119396,0.0,0.0,0.0,2,2,0.21612921150119396,0.0
brand_HP,brand,0.0625,0.1297699214365881,-0.20065659603047548,0.0,0.0,0.0,2,2,0.20065659603047548,0.0
no_info_gpu,gpu,0.175,0.26318742985409654,-0.2004870229825582,0.0,0.0,0.0,2,2,0.2004870229825582,0.0
