feature,feature_group,mean_high_error,mean_other_rows,std_mean_diff,missing_rate_high_error,missing_rate_other_rows,missing_rate_delta,n_unique_high_error,n_unique_other_rows,abs_std_mean_diff,abs_missing_rate_delta
no_info_condition,other,0.75,0.25336700336700335,1.1337373634036774,0.0,0.0,0.0,2,2,1.1337373634036774,0.0
storage_gb,storage,868.675,437.8747194163861,1.1248246282694256,0.0,0.0,0.0,10,31,1.1248246282694256,0.0
warranty_encoded,other,1.75,1.1931818181818181,1.0547581892707842,0.0,0.0,0.0,2,3,1.0547581892707842,0.0
ram_gb,ram,22.5,13.31060606060606,0.911986526943613,0.0,0.0,0.0,8,19,0.911986526943613,0.0
gpu_tier_ord_filled,gpu,1.2625,0.3287037037037037,0.7210484116710678,0.0,0.0,0.0,7,7,0.7210484116710678,0.0
no_info_model,other,0.9,0.6474466891133558,0.5295461522591215,0.0,0.0,0.0,2,2,0.5295461522591215,0.0
model_Other,other,0.9,0.6474466891133558,0.5295461522591215,0.0,0.0,0.0,2,2,0.5295461522591215,0.0
gpu_type_Dedicated,gpu,0.45,0.24817620650953984,0.46580154860839507,0.0,0.0,0.0,2,2,0.46580154860839507,0.0
cpu_tier_encoded,cpu,5.375,4.7543490460157125,0.35124751623798545,0.0,0.0,0.0,6,9,0.35124751623798545,0.0
screen_size_inch,screen,14.425,12.872115600448932,0.30182604647877426,0.0,0.0,0.0,20,46,0.30182604647877426,0.0
gpu_type_Apple SoC,gpu,0.05,0.014450056116722784,0.2939489575536155,0.0,0.0,0.0,2,2,0.2939489575536155,0.0
brand_MSI,brand,0.1,0.04180695847362514,0.28860743562896496,0.0,0.0,0.0,2,2,0.28860743562896496,0.0
model_is_rare,other,0.025,0.11517957351290685,-0.28353877497934055,0.0,0.0,0.0,2,2,0.28353877497934055,0.0
no_info_gpu,gpu,0.15,0.26346801346801346,-0.2579603948270649,0.0,0.0,0.0,2,2,0.2579603948270649,0.0
gpu_type_Missing_Info,gpu,0.15,0.26346801346801346,-0.2579603948270649,0.0,0.0,0.0,2,2,0.2579603948270649,0.0
gpu_type_Integrated,gpu,0.35,0.4739057239057239,-0.24816906319128587,0.0,0.0,0.0,2,2,0.24816906319128587,0.0
screen_missing,screen,0.05,0.13173400673400673,-0.2423656427892367,0.0,0.0,0.0,2,2,0.2423656427892367,0.0
model_Latitude,other,0.0,0.051206509539842876,-0.23352862445146041,0.0,0.0,0.0,1,2,0.23352862445146041,0.0
brand_HP,brand,0.0625,0.1297699214365881,-0.20065659603047548,0.0,0.0,0.0,2,2,0.20065659603047548,0.0
condition_score,cpu,2.05,2.015151515151515,0.19166192941769108,0.0,0.0,0.0,2,3,0.19166192941769108,0.0
storage_ssd,storage,0.925,0.859006734006734,0.19002815255588482,0.0,0.0,0.0,2,2,0.19002815255588482,0.0
brand_Acer,brand,0.025,0.06762065095398428,-0.1702817854832013,0.0,0.0,0.0,2,2,0.1702817854832013,0.0
brand_Lenovo,brand,0.0875,0.14772727272727273,-0.17004269733111854,0.0,0.0,0.0,2,2,0.17004269733111854,0.0
cpu_brand_Apple,brand,0.1125,0.07112794612794612,0.16046817542693417,0.0,0.0,0.0,2,2,0.16046817542693417,0.0
model_MacBook Air,other,0.0,0.024270482603815938,-0.15856522920962182,0.0,0.0,0.0,1,2,0.15856522920962182,0.0
brand_LG,brand,0.0125,0.003367003367003367,0.1553370345394423,0.0,0.0,0.0,2,2,0.1553370345394423,0.0
model_Inspiron,other,0.0,0.022166105499438832,-0.15137388038541705,0.0,0.0,0.0,1,2,0.15137388038541705,0.0
no_info_storage,storage,0.0625,0.10732323232323232,-0.14509985308807907,0.0,0.0,0.0,2,2,0.14509985308807907,0.0
brand_ASUS,brand,0.1625,0.11896745230078563,0.1342186634163714,0.0,0.0,0.0,2,2,0.1342186634163714,0.0
brand_Dell,brand,0.325,0.2675364758698092,0.12970291835604011,0.0,0.0,0.0,2,2,0.12970291835604011,0.0
no_info_cpu_tier,cpu,0.1125,0.0792648709315376,0.12275475954119598,0.0,0.0,0.0,2,2,0.12275475954119598,0.0
model_ThinkPad,other,0.0,0.013608305274971942,-0.11809662510976521,0.0,0.0,0.0,1,2,0.11809662510976521,0.0
model_ProBook,other,0.0,0.012065095398428732,-0.11111308351748855,0.0,0.0,0.0,1,2,0.11111308351748855,0.0
model_Nitro 5,other,0.0,0.011924803591470258,-0.11045743390269698,0.0,0.0,0.0,1,2,0.11045743390269698,0.0
model_Elitebook,other,0.0,0.011924803591470258,-0.11045743390269595,0.0,0.0,0.0,1,2,0.11045743390269595,0.0
model_MacBook Pro M1,other,0.0,0.011644219977553312,-0.10913487889041448,0.0,0.0,0.0,1,2,0.10913487889041448,0.0
no_info_brand,brand,0.0625,0.041245791245791245,0.10658262233498252,0.0,0.0,0.0,2,2,0.10658262233498252,0.0
brand_Other,brand,0.0625,0.041245791245791245,0.10658262233498252,0.0,0.0,0.0,2,2,0.10658262233498252,0.0
model_MacBook Air M1,other,0.0,0.010662177328843996,-0.10438019115900579,0.0,0.0,0.0,1,2,0.10438019115900579,0.0
model_Vostro,other,0.0,0.010241301907968575,-0.1022778053129678,0.0,0.0,0.0,1,2,0.1022778053129678,0.0
model_Gaming Thin GF,other,0.0125,0.005331088664421998,0.09771838155195861,0.0,0.0,0.0,2,2,0.09771838155195861,0.0
model_XPS 13,other,0.0125,0.005471380471380472,0.09460752710930946,0.0,0.0,0.0,2,2,0.09460752710930946,0.0
model_Legion 5,other,0.0,0.007856341189674524,-0.08947407547988645,0.0,0.0,0.0,1,2,0.08947407547988645,0.0
model_Latitude 14 7000,other,0.0,0.007856341189674524,-0.08947407547988609,0.0,0.0,0.0,1,2,0.08947407547988609,0.0
model_ThinkPad X1 Carbon,other,0.0,0.007716049382716049,-0.08866540276659188,0.0,0.0,0.0,1,2,0.08866540276659188,0.0
model_Latitude E Series,other,0.0,0.006734006734006734,-0.0827906069575453,0.0,0.0,0.0,1,2,0.0827906069575453,0.0
model_Macbook air m4,other,0.0,0.006453423120089787,-0.08103613448117246,0.0,0.0,0.0,1,2,0.08103613448117246,0.0
no_info_cpu_brand,brand,0.025,0.03984287317620651,-0.07603329518225788,0.0,0.0,0.0,2,2,0.07603329518225788,0.0
cpu_brand_Other,brand,0.025,0.03984287317620651,-0.07603329518225788,0.0,0.0,0.0,2,2,0.07603329518225788,0.0
model_MacBook Air M2,other,0.0,0.005611672278338945,-0.07553495178388084,0.0,0.0,0.0,1,2,0.07553495178388084,0.0
model_TUF Gaming F15,other,0.0,0.005611672278338945,-0.07553495178387891,0.0,0.0,0.0,1,2,0.07553495178387891,0.0
model_Pavilion 15,other,0.0,0.005471380471380472,-0.07457958670306047,0.0,0.0,0.0,1,2,0.07457958670306047,0.0
model_TUF Gaming,other,0.0,0.005471380471380472,-0.07457958670306047,0.0,0.0,0.0,1,2,0.07457958670306047,0.0
model_Vivobook 15,other,0.0,0.005471380471380472,-0.07457958670306043,0.0,0.0,0.0,1,2,0.07457958670306043,0.0
model_X Series,other,0.0,0.005050505050505051,-0.07163876147049762,0.0,0.0,0.0,1,2,0.07163876147049762,0.0
model_Elitebook 800,other,0.0,0.005050505050505051,-0.07163876147049593,0.0,0.0,0.0,1,2,0.07163876147049593,0.0
model_IdeaPad,other,0.0,0.004629629629629629,-0.06857455155755518,0.0,0.0,0.0,1,2,0.06857455155755518,0.0
brand_Sony,brand,0.0,0.004208754208754209,-0.06536960479315668,0.0,0.0,0.0,1,2,0.06536960479315668,0.0
model_MacBook Pro M2,other,0.0,0.004068462401795735,-0.06426640125452665,0.0,0.0,0.0,1,2,0.06426640125452665,0.0
model_Aspire,other,0.0,0.004068462401795735,-0.06426640125452564,0.0,0.0,0.0,1,2,0.06426640125452564,0.0
cpu_brand_AMD,brand,0.0875,0.10662177328843996,-0.06200668065146441,0.0,0.0,0.0,2,2,0.06200668065146441,0.0
model_ROG Strix,other,0.0,0.003647586980920314,-0.06083884107988148,0.0,0.0,0.0,1,2,0.06083884107988148,0.0
brand_Toshiba,brand,0.0,0.003647586980920314,-0.06083884107988146,0.0,0.0,0.0,1,2,0.06083884107988146,0.0
cpu_brand_Qualcomm,brand,0.0,0.0035072951739618407,-0.05965323907044659,0.0,0.0,0.0,1,2,0.05965323907044659,0.0
model_Legion,other,0.0,0.003367003367003367,-0.05844393082051616,0.0,0.0,0.0,1,2,0.05844393082051616,0.0
brand_Gigabyte,brand,0.0,0.001964085297418631,-0.044606254722927355,0.0,0.0,0.0,1,2,0.044606254722927355,0.0
brand_Apple,brand,0.125,0.13790684624017957,-0.0374463589145859,0.0,0.0,0.0,2,2,0.0374463589145859,0.0
model_MacBook Pro,other,0.05,0.04292929292929293,0.0348501822422966,0.0,0.0,0.0,2,2,0.0348501822422966,0.0
brand_Microsoft,brand,0.0375,0.03423120089786756,0.017967538598736378,0.0,0.0,0.0,2,2,0.017967538598736378,0.0
storage_missing,storage,0.0625,0.06677890011223345,-0.01714484433389044,0.0,0.0,0.0,2,2,0.01714484433389044,0.0
cpu_brand_Microsoft SQ,brand,0.0,0.0002805836139169473,-0.016845535758779808,0.0,0.0,0.0,1,2,0.016845535758779808,0.0
cpu_brand_Intel,brand,0.775,0.7786195286195287,-0.008716886481164728,0.0,0.0,0.0,2,2,0.008716886481164728,0.0
storage_hdd,storage,0.0375,0.03886083052749719,-0.007042157566572707,0.0,0.0,0.0,2,2,0.007042157566572707,0.0
brand_is_rare,brand,0.0125,0.013187429854096521,-0.006027328084976531,0.0,0.0,0.0,2,2,0.006027328084976531,0.0
ram_missing,ram,0.025,0.024971941638608306,0.0001798021272892574,0.0,0.0,0.0,2,2,0.0001798021272892574,0.0
model_Precision,other,0.025,0.024971941638608306,0.00017980212728925667,0.0,0.0,0.0,2,2,0.00017980212728925667,0.0
