feature_group,flag,n_flags,n_cases,avg_absolute_error,median_absolute_percentage_error
ram,rare_value,7,7,18.487545914559956,0.1708027583187133
ram,high_extreme_value,6,6,18.70220650273873,0.15742146431275345
gpu,high_extreme_value,3,3,19.03087893722411,0.2314998267972193
gpu,rare_value,3,3,19.03087893722411,0.2314998267972193
storage,high_extreme_value,3,3,16.738485724434536,0.1440401703067936
brand,high_extreme_value,1,1,18.474778728528577,0.3973925301813548
brand,rare_value,1,1,18.474778728528577,0.3973925301813548
other,high_extreme_value,1,1,24.38884534516056,0.7742490585519464
other,rare_value,1,1,24.38884534516056,0.7742490585519464
screen,high_extreme_value,1,1,18.03569707576568,0.1227001637910264
