feature_group,flag,n_flags,n_cases,avg_absolute_error,median_absolute_percentage_error
ram,rare_value,13,13,14.073947071369682,0.14465644228503
ram,high_extreme_value,9,9,15.09544826597391,0.1293198671848829
cpu,rare_value,6,6,14.357826083650552,0.4084504410616431
gpu,high_extreme_value,6,6,14.36812613683585,0.17630743213946803
gpu,rare_value,6,6,14.36812613683585,0.17630743213946803
cpu,high_extreme_value,3,3,13.531187287812108,0.6101683322593702
screen,high_extreme_value,3,3,15.513433898727286,0.1342274379302272
other,high_extreme_value,2,2,20.68233288332293,0.47491698527259335
other,rare_value,2,2,20.68233288332293,0.47491698527259335
storage,high_extreme_value,1,1,16.323092233146923,0.1074665365266933
