sample_id,model_name,target_used,actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,ram_gb,storage_gb,screen_size_inch,brand_is_rare,model_is_rare,ram_missing,storage_missing,screen_missing,no_info_brand,no_info_model,no_info_cpu_brand,no_info_cpu_tier,no_info_gpu,storage_ssd,storage_hdd,no_info_storage,condition_score,warranty_encoded,cpu_tier_encoded,brand_ASUS,brand_Acer,brand_Apple,brand_Dell,brand_Gigabyte,brand_HP,brand_LG,brand_Lenovo,brand_MSI,brand_Microsoft,brand_Other,brand_Sony,brand_Toshiba,model_Aspire,model_Elitebook,model_Elitebook 800,model_Gaming Thin GF,model_IdeaPad,model_Inspiron,model_Latitude,model_Latitude 14 7000,model_Latitude E Series,model_Legion,model_Legion 5,model_MacBook Air,model_MacBook Air M1,model_MacBook Air M2,model_MacBook Pro,model_MacBook Pro M1,model_MacBook Pro M2,model_Macbook air m4,model_Nitro 5,model_Other,model_Pavilion 15,model_Precision,model_ProBook,model_ROG Strix,model_TUF Gaming,model_TUF Gaming F15,model_ThinkPad,model_ThinkPad X1 Carbon,model_Vivobook 15,model_Vostro,model_X Series,model_XPS 13,cpu_brand_AMD,cpu_brand_Apple,cpu_brand_Intel,cpu_brand_Microsoft SQ,cpu_brand_Other,cpu_brand_Qualcomm,gpu_tier_ord_filled,gpu_type_Apple SoC,gpu_type_Dedicated,gpu_type_Integrated,gpu_type_Missing_Info
6544,CatBoost,log_target_price,73.9,36.3062407329785,37.593759267021504,37.593759267021504,0.5087112214683733,0.4912887785180948,Premium,severe_error,16.0,1024.0,14.5,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0
6148,CatBoost,log_target_price,60.49,25.265136757151588,35.224863242848414,35.224863242848414,0.5823253966319406,0.4176746033515277,Premium,severe_error,16.0,512.0,14.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3274,CatBoost,log_target_price,42.000001,7.558016994176262,34.441984005823734,34.441984005823734,0.8200472186894399,0.1799527812867506,Premium,severe_error,16.0,500.0,13.95,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1
5721,CatBoost,log_target_price,76.5,42.27233551621693,34.22766448378307,34.22766448378307,0.4474204507625575,0.5525795492243706,Premium,premium_underprediction,64.0,1024.0,16.0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1
5396,CatBoost,log_target_price,60.9,33.39798007914447,27.50201992085553,27.50201992085553,0.4515931021412798,0.5484068978422999,Premium,premium_underprediction,32.0,1024.0,14.0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5345,CatBoost,log_target_price,62.99,35.691214817363814,27.298785182636188,27.298785182636188,0.4333828414383681,0.5666171585457564,Premium,premium_underprediction,16.0,512.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0
6970,CatBoost,log_target_price,64.39,37.19081520483645,27.199184795163557,27.199184795163557,0.4224131820894725,0.577586817894997,Premium,premium_underprediction,16.0,1024.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0
6957,CatBoost,log_target_price,12.89,39.43708848895102,-26.54708848895102,26.54708848895102,2.059510355848837,3.0595103557712573,High,extreme_error,16.0,1152.0,15.6,0,0,0,0,0,0,1,0,0,0,1,1,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
6740,CatBoost,log_target_price,50.0489,24.60836992500199,25.44053007499801,25.44053007499801,0.5083134709152388,0.4916865290647807,Premium,severe_error,16.0,512.0,15.4,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5767,CatBoost,log_target_price,57.29,32.42626731399181,24.86373268600819,24.86373268600819,0.4339977777199196,0.5660022222626254,Premium,premium_underprediction,16.0,512.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0
2182,CatBoost,log_target_price,31.5,7.111154654839437,24.38884534516056,24.38884534516056,0.7742490585519464,0.2257509414163075,Premium,severe_error,16.0,0.0,0.0,0,1,0,1,1,0,0,0,0,1,0,0,1,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1,0,0,0,1
6279,CatBoost,log_target_price,49.99,74.26373716950337,-24.27373716950337,24.27373716950337,0.4855718577519063,1.4855718577319024,Premium,moderate_error,32.0,2048.0,17.0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0
7175,CatBoost,log_target_price,43.5,67.66667496359294,-24.16667496359294,24.16667496359294,0.5555557462767216,1.555555746253733,Premium,severe_error,32.0,1024.0,17.3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0
6122,CatBoost,log_target_price,48.09,23.96088631759165,24.129113682408352,24.129113682408352,0.5017490888314952,0.4982509111477105,Premium,severe_error,4.0,1024.0,13.3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6173,CatBoost,log_target_price,57.3,33.997044852354364,23.302955147645637,23.302955147645637,0.4066833359029486,0.5933166640795995,Premium,premium_underprediction,16.0,1024.0,15.6,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0
6780,CatBoost,log_target_price,59.0,35.757740164904966,23.242259835095037,23.242259835095037,0.3939366073678152,0.6060633926152357,Premium,premium_underprediction,16.0,1024.0,15.6,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0
5905,CatBoost,log_target_price,47.3,24.7859999611901,22.514000038809897,22.514000038809897,0.4759830874912033,0.5240169124876551,Premium,premium_underprediction,16.0,512.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
