sample_id,model_name,target_used,actual_price,predicted_price,residual,absolute_error,absolute_percentage_error,prediction_ratio,price_segment,issue_type,ram_gb,storage_gb,screen_size_inch,brand_is_rare,model_is_rare,ram_missing,storage_missing,screen_missing,no_info_brand,no_info_model,no_info_cpu_brand,no_info_cpu_tier,no_info_gpu,storage_ssd,storage_hdd,no_info_storage,condition_score,warranty_encoded,cpu_tier_encoded,brand_ASUS,brand_Acer,brand_Apple,brand_Dell,brand_Gigabyte,brand_HP,brand_LG,brand_Lenovo,brand_MSI,brand_Microsoft,brand_Other,brand_Sony,brand_Toshiba,model_Aspire,model_Elitebook,model_Elitebook 800,model_Gaming Thin GF,model_IdeaPad,model_Inspiron,model_Latitude,model_Latitude 14 7000,model_Latitude E Series,model_Legion,model_Legion 5,model_MacBook Air,model_MacBook Air M1,model_MacBook Air M2,model_MacBook Pro,model_MacBook Pro M1,model_MacBook Pro M2,model_Macbook air m4,model_Nitro 5,model_Other,model_Pavilion 15,model_Precision,model_ProBook,model_ROG Strix,model_TUF Gaming,model_TUF Gaming F15,model_ThinkPad,model_ThinkPad X1 Carbon,model_Vivobook 15,model_Vostro,model_X Series,model_XPS 13,cpu_brand_AMD,cpu_brand_Apple,cpu_brand_Intel,cpu_brand_Microsoft SQ,cpu_brand_Other,cpu_brand_Qualcomm,cpu_family_ord_filled,cpu_family_group_AMD Ryzen,cpu_family_group_Apple Silicon,cpu_family_group_Intel Core Ultra,cpu_family_group_Intel Core i,cpu_family_group_Intel Low End,cpu_intel_generation_ord,cpu_amd_generation_ord,cpu_apple_core_spec,cpu_qualcomm_snapdragon_spec,cpu_suffix_power_ord_filled,gpu_tier_ord_filled,gpu_type_Apple SoC,gpu_type_Dedicated,gpu_type_Integrated,gpu_type_Missing_Info
5008,LightGBM,target_price,38.0,4.1539716965401015,33.846028303459896,33.846028303459896,0.8906849553307687,0.1093150446429154,Premium,severe_error,0.0,0.0,0.0,0,0,1,1,1,0,1,1,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1
6456,LightGBM,target_price,79.99,46.36538348168566,33.62461651831433,33.62461651831433,0.4203602515051128,0.5796397484823855,Premium,premium_underprediction,32.0,0.0,0.0,0,0,0,1,1,1,1,0,0,0,0,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,10,0,0,0,3,3,0,1,0,0
5983,LightGBM,target_price,42.7,74.5314093548342,-31.831409354834197,31.831409354834197,0.7454662612198765,1.745466261196457,Premium,severe_error,32.0,1024.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,13,0,0,0,4,3,0,1,0,0
6753,LightGBM,target_price,76.79,44.99227094380838,31.797729056191628,31.797729056191628,0.4140868479720997,0.5859131520148777,Premium,premium_underprediction,32.0,1024.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,12,0,0,0,3,3,0,1,0,0
5735,LightGBM,target_price,99.69,69.70626894691877,29.98373105308123,29.98373105308123,0.3007696965872249,0.6992303034027438,Premium,premium_underprediction,32.0,2048.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,12,0,0,0,3,3,0,1,0,0
6072,LightGBM,target_price,8.39,38.21203259477492,-29.82203259477492,29.82203259477492,3.5544734912062506,4.554473491087061,Mid,extreme_error,16.0,256.0,15.6,0,0,0,0,0,0,1,0,0,1,1,0,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,8,0,0,0,3,-1,0,0,0,1
5683,LightGBM,target_price,80.49,52.42392762963756,28.066072370362438,28.066072370362438,0.348690177289275,0.6513098226983011,Premium,premium_underprediction,64.0,1024.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,15,0,0,0,3,3,0,1,0,0
6799,LightGBM,target_price,56.99,29.92030141482238,27.069698585177623,27.069698585177623,0.4749903243499321,0.525009675632521,Premium,premium_underprediction,16.0,512.0,13.4,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,11,0,0,0,1,0,0,0,1,0
6067,LightGBM,target_price,102.0,74.93329837808223,27.066701621917773,27.066701621917773,0.2653598198201217,0.7346401801700744,Premium,premium_underprediction,32.0,2048.0,17.3,0,0,0,0,0,0,1,0,0,1,1,0,0,3,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,12,0,0,0,3,-1,0,0,0,1
3296,LightGBM,target_price,51.0,25.101890570865287,25.898109429134717,25.898109429134717,0.5078060672279786,0.4921939327524136,Premium,severe_error,32.0,1024.0,13.95,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
