target,feature,importance_mean,importance_std,scope,segment,group
log_target_price,ram_gb,0.14832780804020623,0.002785810044634159,global,All,ram
log_target_price,warranty_encoded,0.1292208584943062,0.0062310213924992985,global,All,other
log_target_price,storage_gb,0.1189096476118531,0.004674645116268425,global,All,storage
log_target_price,no_info_condition,0.1172250848611777,0.006373810149853376,global,All,other
log_target_price,cpu_brand_Apple,0.05033775726332582,0.0033234913032055037,global,All,brand
log_target_price,cpu_tier_encoded,0.04833732493597491,0.0017122188649373149,global,All,cpu
log_target_price,brand_Apple,0.021878344105355087,0.0013411816429929175,global,All,brand
log_target_price,screen_size_inch,0.010205085480110686,0.0013325592583167548,global,All,screen
log_target_price,gpu_tier_ord_filled,0.008031601980664205,0.0012597611587884965,global,All,gpu
log_target_price,brand_Microsoft,0.007414698857188318,0.0007064364584686496,global,All,brand
log_target_price,cpu_brand_Intel,0.006370705962417544,0.0008087494664493658,global,All,brand
log_target_price,condition_score,0.005751250082732906,0.00031387311839196387,global,All,cpu
log_target_price,storage_hdd,0.005693462270448801,0.0016349748342971196,global,All,storage
log_target_price,gpu_type_Dedicated,0.003821530538897089,0.0007070020188025938,global,All,gpu
log_target_price,ram_missing,0.0026423088168831877,0.00036109711173416554,global,All,ram
log_target_price,cpu_brand_AMD,0.0019080106302576728,0.0006030403525198429,global,All,brand
log_target_price,gpu_type_Integrated,0.0018768937877489899,0.00040058413234592816,global,All,gpu
log_target_price,brand_Dell,0.0015110987122855524,0.000613380979920825,global,All,brand
log_target_price,model_MacBook Pro,0.00119404175233937,0.00042879391406370115,global,All,other
log_target_price,brand_MSI,0.001021601923293869,0.000655687309694289,global,All,brand
log_target_price,brand_Lenovo,0.0010003187803460877,0.00019986848363715112,global,All,brand
log_target_price,brand_Acer,0.000970668132478758,0.0003949455536117699,global,All,brand
log_target_price,no_info_cpu_tier,0.0009414911813698911,0.00019394712818830278,global,All,cpu
log_target_price,model_Latitude E Series,0.000941186397745164,0.00043395649266996417,global,All,other
log_target_price,brand_LG,0.0009071260204015497,0.00016217869960385336,global,All,brand
log_target_price,model_MacBook Air M1,0.0007268504799809339,0.000292816004522701,global,All,other
log_target_price,model_Nitro 5,0.0007016648295920192,0.0003273355259092938,global,All,other
log_target_price,no_info_model,0.0006895680677679094,0.00011887709781823644,global,All,other
log_target_price,model_TUF Gaming F15,0.0006870202979181062,0.0002763172762719358,global,All,other
log_target_price,model_Legion 5,0.000652975519777843,0.00040133981541847603,global,All,other
log_target_price,model_MacBook Air,0.0006453482933077348,0.0004796562186768866,global,All,other
log_target_price,brand_Sony,0.0006361669247815672,0.00013270109506311237,global,All,brand
log_target_price,model_Other,0.00047590540856550233,0.0001381971261655405,global,All,other
log_target_price,model_XPS 13,0.0004644492338787276,0.0004924999613556798,global,All,other
log_target_price,brand_is_rare,0.00045202747603143576,0.00023252855375403844,global,All,brand
log_target_price,brand_HP,0.00043777058142659977,0.00015435809951976415,global,All,brand
log_target_price,model_X Series,0.00034135227556814085,8.34427130316199e-05,global,All,other
log_target_price,model_MacBook Pro M1,0.0002952331999881208,4.3473606601244206e-05,global,All,other
log_target_price,gpu_type_Missing_Info,0.00027609543799641536,0.00023635516624751128,global,All,gpu
log_target_price,no_info_gpu,0.00022168508442714784,0.0002447764916390319,global,All,gpu
log_target_price,model_is_rare,0.00014557849111543897,9.640953697774607e-05,global,All,other
log_target_price,model_ThinkPad X1 Carbon,0.0001347213489503396,0.00017217243152525068,global,All,other
log_target_price,model_Macbook air m4,0.00012734843895925163,9.973403713268783e-05,global,All,other
log_target_price,brand_Toshiba,0.00012488529676745185,0.00013109289422845512,global,All,brand
log_target_price,model_Inspiron,0.00011673667134090015,0.00014259227432786729,global,All,other
log_target_price,storage_ssd,0.00011109156337024695,9.869371437623797e-05,global,All,storage
log_target_price,model_Legion,0.00010393151571469472,2.7664600792125333e-05,global,All,other
log_target_price,cpu_brand_Other,8.612250475011906e-05,6.143097245520237e-05,global,All,brand
