feature_case,experiment_name,target_name,mae,rmse,r2,mape_pct,source_cell,delta_mae_vs_baseline,delta_rmse_vs_baseline,delta_r2_vs_baseline,delta_mape_vs_baseline,better_rmse_than_baseline,better_mae_than_baseline,better_mape_than_baseline,better_r2_than_baseline,beats_baseline_metric_count
rs2_ram_storage_interactions,rs2_ram_storage_interactions,target_price,3.1852,5.041,0.889,30.6421,73,-0.01670000000000016,-0.035800000000000054,0.0016000000000000458,-0.44950000000000045,True,True,True,True,4
model_family_all,model_family_all,target_price,3.1987,5.0539,0.8884,30.9689,99,-0.0032000000000000917,-0.02290000000000081,0.0010000000000000009,-0.12269999999999825,True,True,True,True,4
gpu_plus_relative_brand_condition,gpu_plus_relative_brand_condition,target_price,3.1934,5.0552,0.8883,30.9236,89,-0.008500000000000174,-0.021600000000000286,0.0009000000000000119,-0.16799999999999926,True,True,True,True,4
gpu_plus_relative_brand,gpu_plus_relative_brand,target_price,3.2008,5.0558,0.8883,30.9433,89,-0.001100000000000101,-0.021000000000000796,0.0009000000000000119,-0.148299999999999,True,True,True,True,4
gpu_brand_all,gpu_brand_all,target_price,3.2086,5.056,0.8883,31.2,99,0.006699999999999928,-0.020800000000000374,0.0009000000000000119,0.10839999999999961,True,False,False,True,2
apple_premium,apple_premium,target_price,3.1997,5.0577,0.8882,31.1585,85,-0.002200000000000202,-0.019100000000000783,0.0008000000000000229,0.0669000000000004,True,True,False,True,3
warranty_onehot,warranty_onehot,target_price,3.1897,5.0627,0.888,31.0207,55,-0.012199999999999989,-0.014100000000000001,0.0006000000000000449,-0.07089999999999819,True,True,True,True,4
rs_relative_brand_ohe,rs_relative_brand_ohe,target_price,3.1918,5.0634,0.888,30.7965,76,-0.010099999999999998,-0.013400000000000745,0.0006000000000000449,-0.2950999999999979,True,True,True,True,4
relative_brand,relative_brand,target_price,3.1918,5.0634,0.888,30.7965,85,-0.010099999999999998,-0.013400000000000745,0.0006000000000000449,-0.2950999999999979,True,True,True,True,4
cpu_all_features,cpu_all_features,target_price,3.19,5.0653,0.8879,30.8747,108,-0.011900000000000244,-0.011500000000000732,0.000500000000000056,-0.21689999999999898,True,True,True,True,4
gpu_interaction,gpu_interaction,target_price,3.1906,5.0672,0.8878,30.8389,85,-0.01130000000000031,-0.009600000000000719,0.00040000000000006697,-0.2527000000000008,True,True,True,True,4
gpu_interaction_all,gpu_interaction_all,target_price,3.1906,5.0672,0.8878,30.8389,99,-0.01130000000000031,-0.009600000000000719,0.00040000000000006697,-0.2527000000000008,True,True,True,True,4
rs_high_spec_flags,rs_high_spec_flags,target_price,3.2048,5.0681,0.8878,31.239,71,0.0028999999999999027,-0.008700000000000152,0.00040000000000006697,0.14740000000000109,True,False,False,True,2
apple_cpu_features_only,apple_cpu_features_only,target_price,3.2077,5.0711,0.8876,31.0495,108,0.005799999999999805,-0.005700000000000038,0.00019999999999997797,-0.04210000000000136,True,False,True,True,3
gpu_only_high_gpu_large_storage,gpu_only_high_gpu_large_storage,target_price,3.2019,5.0712,0.8876,31.0709,99,0.0,-0.005600000000000271,0.00019999999999997797,-0.020699999999997942,True,False,True,True,3
condition_warranty,condition_warranty,target_price,3.217,5.0734,0.8875,31.1991,85,0.015099999999999891,-0.0034000000000000696,9.999999999998899e-05,0.1075000000000017,True,False,False,True,2
gpu_plus_best_small_combo,gpu_plus_best_small_combo,target_price,3.2141,5.0748,0.8875,31.1738,89,0.012199999999999989,-0.002000000000000668,9.999999999998899e-05,0.08220000000000027,True,False,False,True,2
gpu_interaction_plus_gpu_cpu,gpu_interaction_plus_gpu_cpu,target_price,3.214,5.0759,0.8874,31.0825,99,0.012099999999999778,-0.000900000000000567,0.0,-0.009100000000000108,True,False,True,False,2
baseline,baseline,target_price,3.2019,5.0768,0.8874,31.0916,52,0.0,0.0,0.0,0.0,False,False,False,False,0
warranty_015,warranty_015,target_price,3.2019,5.0768,0.8874,31.0916,58,0.0,0.0,0.0,0.0,False,False,False,False,0
