feature,group,log_target_price,target_price
warranty_encoded,other,4.0,1.0
ram_gb,ram,1.0,2.0
storage_gb,storage,3.0,3.0
no_info_condition,other,2.0,4.0
cpu_tier_encoded,cpu,5.0,5.0
cpu_brand_Apple,brand,6.0,6.0
gpu_tier_ord_filled,gpu,7.0,7.0
screen_size_inch,screen,9.0,8.0
gpu_type_Dedicated,gpu,8.0,9.0
cpu_brand_Intel,brand,10.0,10.0
gpu_type_Integrated,gpu,18.0,11.0
no_info_cpu_tier,cpu,17.0,12.0
cpu_brand_AMD,brand,21.0,13.0
brand_Apple,brand,11.0,14.0
condition_score,cpu,16.0,15.0
brand_Dell,brand,15.0,16.0
brand_Microsoft,brand,13.0,17.0
storage_hdd,storage,14.0,18.0
ram_missing,ram,19.0,19.0
model_Other,other,27.0,20.0
brand_ASUS,brand,,21.0
no_info_storage,storage,12.0,22.0
brand_Acer,brand,20.0,23.0
brand_Lenovo,brand,22.0,24.0
no_info_model,other,24.0,25.0
storage_ssd,storage,,26.0
model_MacBook Air M1,other,29.0,27.0
no_info_gpu,gpu,,28.0
model_MacBook Pro M1,other,,29.0
model_Legion 5,other,28.0,30.0
brand_MSI,brand,23.0,
storage_missing,storage,25.0,
model_Latitude E Series,other,26.0,
brand_HP,brand,30.0,
