model_name,model_type,target_used,evaluation_scale,mae,rmse,r2,mape,median_ae,max_error,train_time_sec,predict_time_sec
CatBoost,gradient_boosting,target_price,target_price,3.48868111053997,5.514597447136053,0.8635682681946507,0.328528308809212,2.1174929426208595,36.1011154416998,4.5027895999955945,0.010318999993614852
CatBoost,gradient_boosting,log_target_price,target_price,3.4316641708244653,5.6352132513278015,0.857534904969742,0.28844092508889346,1.9225353555461928,37.65085555590456,5.163314999954309,0.08674450003309175
LightGBM,gradient_boosting,log_target_price,target_price,3.4507357734399524,5.76437741030448,0.8509292020457647,0.28890517794210013,1.8570765497744546,39.74047651949587,0.8838272000430152,0.013532399956602603
LightGBM,gradient_boosting,target_price,target_price,3.554371631118738,5.776272989266379,0.8503133113683338,0.3222406517601505,1.977689508163754,36.275755034111974,1.9454522000160068,0.017067299981135875
Random Forest,tree_ensemble,log_target_price,target_price,3.5440793333513505,5.909980718847676,0.8433032860588883,0.3056152918851778,1.9224177473574833,36.80097161150025,1.2685012000147253,0.10110179998446256
Random Forest,tree_ensemble,target_price,target_price,3.5813435169575314,5.940101029422195,0.8417020013627694,0.33056804758102487,1.924943902668749,38.180841666667305,1.2279320000088774,0.10826940002152696
Extra Trees,tree_ensemble,log_target_price,target_price,3.7850674384737295,6.235296707366749,0.8255776997623586,0.32331625409825493,2.0235103359191973,45.000000000004235,1.3905695999856107,0.12620040000183508
Ridge,linear,target_price,target_price,4.26051525791641,6.339493522141729,0.8196995187838838,0.44210527829674295,2.84781630096289,50.40267510783619,0.016537600022275,0.004974899988155812
Lasso,linear,target_price,target_price,4.260264386735676,6.339995359976941,0.8196709722811855,0.44195853875553065,2.844657448372772,50.46565632673507,0.5517819999950007,0.0025679999962449074
ElasticNet,linear,target_price,target_price,4.2605970494785375,6.34058331970046,0.8196375239533558,0.44205246819845095,2.8469800924096265,50.48343803646363,1.8435093000298366,0.002527999982703477
Linear Regression,linear,target_price,target_price,4.264264571368785,6.3451901267355355,0.819375340829591,0.4429602242786972,2.8035677603895093,50.17153635422098,0.09721380000701174,0.002360600046813488
Extra Trees,tree_ensemble,target_price,target_price,3.865433032885399,6.361907118752026,0.8184223422581778,0.34721779082868315,2.1464285714285687,45.00000000000054,1.437563700019382,0.08069110003998503
Linear Regression,linear,log_target_price,target_price,5.621095573955292,29.24721386402239,-2.8375739962393127,0.39798656645004477,2.6406044934301303,778.4642367013303,0.17281439999351278,0.0029633999802172184
Ridge,linear,log_target_price,target_price,5.623622561667331,29.4378579644285,-2.887766489786701,0.39752247124198,2.6570564836080424,789.13123888318,0.01637620001565665,0.0022473999997600913
ElasticNet,linear,log_target_price,target_price,5.637534867596457,29.74164082959544,-2.9684198224704934,0.39806540566545906,2.6299939756501542,798.0872132827953,0.3599680000334047,0.007091899984516203
Lasso,linear,log_target_price,target_price,5.6513003657214815,30.00510798729422,-3.0390399544665003,0.39872903677561766,2.621539476423027,806.6881855019665,0.050659600005019456,0.0030154999694786966
