section,metric,value,source,notes
basic_health,rows,10080,,
basic_health,columns,44,,
basic_health,duplicate_rows,0,,
basic_health,duplicated_merged_row_id,0,,
basic_health,unique_sources,2,,
basic_health,source_values,"['chotot', 'websach']",,
basic_health,target_missing_count,0,,
basic_health,target_non_positive_count,0,,
basic_health,numeric_infinite_values,0,,
basic_health,lowest_canonical_completeness,"{'origin_clean': 0.2282738095238095, 'warranty_months': 0.24265873015873018, 'price_spread_clean_pct': 0.43472222222222223, 'model_grouped': 0.5652777777777778, 'has_warranty': 0.5652777777777778, 'url': 0.5652777777777778, 'title': 0.5652777777777778, 'warranty_status': 0.5652777777777778, 'condition_clean': 0.5652777777777778, 'model_is_rare': 0.5652777777777778}",,
source_composition,row_count_by_source,"{'chotot': 5698, 'websach': 4382}",,
source_composition,median_target_price_by_source,"{'chotot': 7890000.0, 'websach': 21195000.0}",,
source_composition,source_median_price_ratio,2.6863117870722433,,
source_composition,source_price_shift_warning,2.6863117870722433,,Median target differs by more than 30% between sources.
target_distribution,raw_target_skew,2.7457222862215875,,
target_distribution,p95_median_ratio,3.3698792503148383,,
target_distribution,recommend_log_target,True,,
missingness,highest_missing_like_columns,"{'origin_clean': 0.7717261904761905, 'warranty_months': 0.7573412698412698, 'model_is_rare': 0.43472222222222223, 'url': 0.43472222222222223, 'title': 0.43472222222222223, 'model_clean': 0.43472222222222223, 'model_grouped': 0.43472222222222223, 'condition_clean': 0.43472222222222223, 'warranty_status': 0.43472222222222223, 'gpu_tier': 0.1501984126984127}",,
numeric_features,numeric_correlations,"[{'feature': 'storage_gb', 'target': 'log_target_price', 'pearson': 0.568996654977444, 'spearman': 0.6803947130654892, 'coverage': 0.9427579365079365}, {'feature': 'ram_gb', 'target': 'log_target_price', 'pearson': 0.5355412391239154, 'spearman': 0.5591415007877771, 'coverage': 0.9820436507936507}, {'feature': 'warranty_months', 'target': 'log_target_price', 'pearson': 0.29011402183384083, 'spearman': 0.3164918478133064, 'coverage': 0.24265873015873016}, {'feature': 'screen_size_inch', 'target': 'log_target_price', 'pearson': 0.20003247137671637, 'spearman': 0.2481953954025113, 'coverage': 0.901984126984127}, {'feature': 'storage_gb', 'target': 'target_price', 'pearson': 0.6803257066641965, 'spearman': 0.6803947130654892, 'coverage': 0.9427579365079365}, {'feature': 'ram_gb', 'target': 'target_price', 'pearson': 0.6761932844260223, 'spearman': 0.5591415007877771, 'coverage': 0.9820436507936507}, {'feature': 'warranty_months', 'target': 'target_price', 'pearson': 0.27982579484531406, 'spearman': 0.3164918478133064, 'coverage': 0.24265873015873016}, {'feature': 'screen_size_inch', 'target': 'target_price', 'pearson': 0.17498081155989012, 'spearman': 0.2481953954025113, 'coverage': 0.901984126984127}]",,
categorical_features,cardinality,"[{'column': 'model_grouped', 'nunique_overall': 34, 'nunique_chotot': 33, 'nunique_websach': 1}, {'column': 'brand_grouped', 'nunique_overall': 15, 'nunique_chotot': 12, 'nunique_websach': 12}, {'column': 'gpu_tier', 'nunique_overall': 14, 'nunique_chotot': 5, 'nunique_websach': 9}, {'column': 'cpu_tier', 'nunique_overall': 11, 'nunique_chotot': 7, 'nunique_websach': 6}, {'column': 'origin_clean', 'nunique_overall': 10, 'nunique_chotot': 10, 'nunique_websach': 1}, {'column': 'cpu_brand', 'nunique_overall': 6, 'nunique_chotot': 4, 'nunique_websach': 6}, {'column': 'storage_type_clean', 'nunique_overall': 5, 'nunique_chotot': 3, 'nunique_websach': 5}, {'column': 'condition_clean', 'nunique_overall': 4, 'nunique_chotot': 3, 'nunique_websach': 1}, {'column': 'warranty_status', 'nunique_overall': 4, 'nunique_chotot': 3, 'nunique_websach': 1}]",,
categorical_features,category_coverage,"[{'column': 'origin_clean', 'top15_share': 1.0000000000000002, 'unknown_or_other_share': 0.7827380952380952}, {'column': 'model_grouped', 'top15_share': 0.921626984126984, 'unknown_or_other_share': 0.647718253968254}, {'column': 'condition_clean', 'top15_share': 1.0, 'unknown_or_other_share': 0.43472222222222223}, {'column': 'warranty_status', 'top15_share': 1.0, 'unknown_or_other_share': 0.43472222222222223}, {'column': 'gpu_tier', 'top15_share': 1.0, 'unknown_or_other_share': 0.15019841269841272}, {'column': 'storage_type_clean', 'top15_share': 1.0, 'unknown_or_other_share': 0.08581349206349206}, {'column': 'cpu_tier', 'top15_share': 1.0, 'unknown_or_other_share': 0.07648809523809524}, {'column': 'cpu_brand', 'top15_share': 1.0, 'unknown_or_other_share': 0.034126984126984124}, {'column': 'brand_grouped', 'top15_share': 0.9999999999999999, 'unknown_or_other_share': 0.030952380952380953}]",,
