origin_clean,origin_missing_or_unknown,brand_clean,brand_mismatch_title,model_clean,model_recovered,_ram_gb,_storage_gb,_screen_size_inch,_title_ram_gb,_title_storage_gb,_title_cpu,_title_screen_size_inch,_ram_gb_filled,_storage_gb_filled,_screen_size_inch_filled,ram_missing,storage_capacity_missing,screen_missing,ram_suspicious,storage_missing_all,cpu_missing,cpu_brand,cpu_tier,gpu_missing,gpu_tier,potential_dedicated_gpu,warranty_months,warranty_status,has_warranty,storage_type_clean,was_storage_type_imputed,condition_clean,repair_mismatch,condition_warranty_inconsistent,brand_grouped,model_grouped,brand_is_rare,model_is_rare,_price
Mỹ,False,Dell,False,Latitude,Latitude,16.0,256.0,13.95,16.0,,Unknown,,16.0,256.0,13.95,False,False,False,False,False,False,Intel,Upper-mid,False,Integrated - Intel,False,13.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Latitude,False,False,9990000.0
Unknown,True,Acer,False,Aspire A3,Aspire A3,8.0,127.0,15.95,,,Unknown,,8.0,127.0,15.95,False,False,False,False,False,False,Intel,Entry,False,Integrated - Intel,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Acer,Other,False,True,4500000.0
Unknown,True,HP,False,Elite X2,Elite X2,8.0,512.0,11.95,,,Unknown,,8.0,512.0,11.95,False,False,False,False,False,False,Intel,Upper-mid,False,Integrated - Intel,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,HP,Other,False,True,3500000.0
Mỹ,False,Dell,False,Pro Rugged 14,Pro Rugged 14,32.0,512.0,13.95,32.0,512.0,Unknown,,32.0,512.0,13.95,False,False,False,False,False,False,Intel,Other,False,Integrated - Intel,False,13.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Other,False,True,37500000.0
Unknown,True,HP,False,Spectre,Spectre,16.0,256.0,13.95,,,Unknown,,16.0,256.0,13.95,False,False,False,False,False,True,Unknown,Missing,False,Integrated - Intel,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,HP,Other,False,True,7990000.0
Mỹ,False,HP,False,Elitebook 800,Elitebook 800,8.0,256.0,13.95,8.0,256.0,i7 8650u,,8.0,256.0,13.95,False,False,False,False,False,False,Intel,Upper-mid,False,Integrated - Intel,False,3.0,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,HP,Elitebook 800,False,False,5990000.0
Unknown,True,Dell,False,Latitude 13 7000,Latitude 13 7000,16.0,256.0,13.95,12.0,256.0,Unknown,13.0,16.0,256.0,13.95,False,False,False,False,False,False,Intel,Mid,False,Integrated - Intel,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Dell,Other,False,True,6000000.0
Unknown,True,Apple,False,MacBook Air,MacBook Air,16.0,256.0,13.95,16.0,256.0,Unknown,,16.0,256.0,13.95,False,False,False,False,False,False,Intel,Mid,True,Missing,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Apple,MacBook Air,False,False,9990000.0
Việt Nam,False,Acer,False,Nitro 5,Nitro 5,16.0,512.0,15.95,,,Unknown,,16.0,512.0,15.95,False,False,False,False,False,False,Intel,Upper-mid,False,Dedicated - Other/Entry,False,,Active,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Acer,Nitro 5,False,False,16500000.0
Việt Nam,False,Apple,False,MacBook Pro,MacBook Pro,8.0,128.0,,128.0,,Unknown,,8.0,128.0,,False,False,True,False,False,False,Intel,Mid,True,Missing,False,,Manufacturer,True,SSD,False,Đã sử dụng (chưa sửa chữa),False,False,Apple,MacBook Pro,False,False,4650000.0
