ram_gb,storage_gb,screen_size_inch,brand_grouped,model_grouped,cpu_brand,cpu_tier,gpu_tier,storage_type_clean,condition_clean,warranty_status,brand_is_rare,model_is_rare,ram_missing,storage_missing,screen_missing,cpu_missing,gpu_missing,ram_suspicious,storage_suspicious,screen_suspicious,potential_dedicated_gpu,repair_mismatch,is_soft_duplicate_spec,target_price,log_target_price,source,no_info_brand,no_info_model,no_info_cpu_brand,no_info_cpu_tier,no_info_gpu
16.0,256.0,13.95,Dell,Latitude,Intel,Upper-mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,9990000.0,16.11709525072483,chotot,0,0,0,0,0
8.0,127.0,15.95,Acer,Other,Intel,Entry,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,False,False,False,False,False,False,False,False,False,4500000.0,15.319588176962746,chotot,0,1,0,0,0
8.0,512.0,11.95,HP,Other,Intel,Upper-mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,False,False,False,False,False,False,False,False,False,3500000.0,15.068273812173889,chotot,0,1,0,0,0
32.0,512.0,13.95,Dell,Other,Intel,Other,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,37500000.0,17.439851517607305,chotot,0,1,0,1,0
16.0,256.0,13.95,HP,Other,Other,Other,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,True,False,False,False,False,False,False,False,7990000.0,15.893701442898896,chotot,0,1,1,1,0
8.0,256.0,13.95,HP,Elitebook 800,Intel,Upper-mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,5990000.0,15.605602137036527,chotot,0,0,0,0,0
16.0,256.0,13.95,Dell,Other,Intel,Mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,False,False,False,False,False,False,False,False,False,6000000.0,15.607270193858982,chotot,0,1,0,0,0
16.0,256.0,13.95,Apple,MacBook Air,Intel,Mid,Other,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,False,False,False,False,False,True,False,False,False,False,False,False,9990000.0,16.11709525072483,chotot,0,0,0,0,1
16.0,512.0,15.95,Acer,Nitro 5,Intel,Upper-mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,16500000.0,16.61887099947687,chotot,0,0,0,0,0
8.0,128.0,,Apple,MacBook Pro,Intel,Mid,Other,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,False,False,False,True,False,True,False,False,False,False,False,False,4650000.0,15.35237799261728,chotot,0,0,0,0,1
4.0,127.0,,Apple,MacBook Air,Intel,Mid,Other,SSD,Đã sử dụng (chưa sửa chữa),Expired,False,False,False,False,True,False,True,False,False,False,False,False,False,3500000.0,15.068273812173889,chotot,0,0,0,0,1
16.0,512.0,15.95,Dell,Precision,Intel,Upper-mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,20500000.0,16.835935492889124,chotot,0,0,0,0,0
8.0,512.0,15.95,MSI,Other,AMD,Upper-mid,Integrated - AMD Radeon,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,False,False,False,False,False,False,False,False,False,8300000.0,15.931766193248746,chotot,0,1,0,0,0
16.0,256.0,13.95,Dell,Other,Intel,Upper-mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,8700000.0,15.978833698567334,chotot,0,1,0,0,0
16.0,512.0,15.95,ASUS,Other,Intel,Upper-mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,21900000.0,16.90199724044883,chotot,0,1,0,0,0
32.0,750.0,15.95,Dell,Other,Intel,Other,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Expired,False,True,False,False,False,False,False,False,False,False,False,False,False,24000000.0,16.993564429978885,chotot,0,1,0,1,0
8.0,256.0,13.95,Dell,Other,Intel,Mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,7600000.0,15.843658936835498,chotot,0,1,0,0,0
32.0,512.0,15.95,Dell,Other,Intel,High,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,False,False,False,False,False,False,False,False,False,18000000.0,16.705882371415992,chotot,0,1,0,0,0
8.0,256.0,13.95,Lenovo,ThinkPad X1 Carbon,Intel,Mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,False,False,False,False,False,False,False,False,False,False,False,False,5000000.0,15.424948670398354,chotot,0,0,0,0,0
8.0,256.0,13.95,Dell,Other,Intel,Entry,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,10000000.0,16.118095750958314,chotot,0,1,0,0,0
8.0,250.0,15.95,Toshiba,Other,Intel,Upper-mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,False,False,False,False,False,False,False,False,False,False,False,False,3700000.0,15.123843647884687,chotot,0,1,0,0,0
8.0,127.0,13.95,HP,Other,Intel,Entry,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,2800000.0,14.845130332288226,chotot,0,1,0,0,0
8.0,128.0,15.95,Dell,Latitude,Intel,Mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,4900000.0,15.404745967162468,chotot,0,0,0,0,0
16.0,512.0,15.95,Acer,Other,Intel,Mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,12990000.0,16.379690465629075,chotot,0,1,0,0,0
16.0,256.0,13.95,Apple,MacBook Air M2,Apple,Mid,Other,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,False,False,False,False,False,True,False,False,False,False,False,False,18000000.0,16.705882371415992,chotot,0,0,0,0,1
16.0,512.0,15.95,MSI,Other,Intel,Mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,False,False,False,False,False,False,False,False,False,15000000.0,16.52356082573315,chotot,0,1,0,0,0
4.0,128.0,15.95,HP,Other,Intel,Entry,Integrated - Intel,SSD,Mới,Active,False,False,False,False,False,False,False,False,False,False,False,False,False,2300000.0,14.648420115681892,chotot,0,1,0,0,0
8.0,256.0,15.95,HP,Other,Intel,Entry,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,4500000.0,15.319588176962746,chotot,0,1,0,0,0
8.0,256.0,11.95,Apple,Other,Apple,Mid,Integrated - Intel,SSD,Mới,Expired,False,True,False,False,False,False,False,False,False,False,False,False,False,4000000.0,15.201805169084134,chotot,0,1,0,0,0
8.0,256.0,13.95,Dell,Other,Intel,Mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,7000000.0,15.76142084987672,chotot,0,1,0,0,0
16.0,512.0,,MSI,Other,Intel,Upper-mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,True,False,False,False,False,False,False,False,False,8600000.0,15.9672728775028,chotot,0,1,0,0,0
16.0,256.0,13.95,Apple,MacBook Pro,Intel,Mid,Other,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,False,False,False,False,False,True,False,False,False,False,False,False,11000000.0,16.213405921671733,chotot,0,0,0,0,1
8.0,480.0,15.95,Dell,Other,Intel,Entry,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,False,False,False,False,False,False,False,False,False,5500000.0,15.520258832020865,chotot,0,1,0,0,0
16.0,256.0,13.95,Apple,Macbook air m4,Apple,Mid,Other,Other,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,True,False,False,False,False,False,False,21950000.0,16.90427774304354,chotot,0,0,0,0,1
8.0,512.0,13.95,Acer,Other,Intel,Mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,2700000.0,14.80876270134486,chotot,0,1,0,0,0
8.0,,,Other,Other,Intel,Upper-mid,Dedicated - Other/Entry,Other,Đã sử dụng (chưa sửa chữa),Expired,True,True,False,True,True,False,False,False,False,False,False,False,False,3500000.0,15.068273812173889,chotot,1,1,0,0,0
16.0,512.0,13.95,HP,Other,Intel,Mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,12800000.0,16.36495580701484,chotot,0,1,0,0,0
16.0,512.0,15.95,ASUS,Other,Intel,Mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,13800000.0,16.440179222591198,chotot,0,1,0,0,0
8.0,256.0,13.95,Apple,MacBook Air M1,Apple,Mid,Other,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,12500000.0,16.341239282272525,chotot,0,0,0,0,1
16.0,256.0,,Dell,Inspiron,Intel,Mid,Other,Other,Đã sử dụng (chưa sửa chữa),Manufacturer,False,False,False,False,True,False,True,False,False,False,False,False,False,4200000.0,15.250595321348806,chotot,0,0,0,0,1
16.0,512.0,13.95,Microsoft,Other,Other,Other,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,19700000.0,16.796129244469636,chotot,0,1,1,1,0
32.0,512.0,15.95,Lenovo,Other,Intel,Mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,18000000.0,16.705882371415992,chotot,0,1,0,0,0
16.0,512.0,15.95,Dell,Precision,Intel,Upper-mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,False,False,False,False,False,False,False,False,False,False,False,False,18300000.0,16.722411672456456,chotot,0,0,0,0,0
32.0,512.0,15.95,Lenovo,Other,Intel,Upper-mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,14500000.0,16.489659276356317,chotot,0,1,0,0,0
16.0,256.0,15.95,Dell,Other,Intel,High,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,11900000.0,16.29204904211537,chotot,0,1,0,0,0
16.0,512.0,15.95,ASUS,Other,AMD,Mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,13000000.0,16.380459992348886,chotot,0,1,0,0,0
32.0,512.0,13.95,Lenovo,Other,AMD,Mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,False,False,False,False,False,False,False,False,False,9500000.0,16.066802461833923,chotot,0,1,0,0,0
8.0,127.0,15.95,Other,Other,Intel,Entry,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,True,True,False,False,False,False,False,False,False,False,False,False,False,4000000.0,15.201805169084134,chotot,1,1,0,0,0
8.0,256.0,13.95,Lenovo,Other,AMD,Upper-mid,Integrated - AMD Radeon,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,6500000.0,15.687312888712007,chotot,0,1,0,0,0
16.0,512.0,15.95,HP,Other,AMD,Upper-mid,Dedicated - Other/Entry,SSD,Mới,Active,False,True,False,False,False,False,False,False,False,False,False,False,False,17500000.0,16.677711496036597,chotot,0,1,0,0,0
,512.0,,Apple,MacBook Air,Other,Other,Other,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,False,True,False,True,True,True,False,False,False,False,False,False,7500000.0,15.830413711839864,chotot,0,0,1,1,1
16.0,512.0,,ASUS,TUF Gaming F15,Intel,Upper-mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,False,False,False,True,False,False,False,False,False,False,False,False,18800000.0,16.749367480991666,chotot,0,0,0,0,0
16.0,256.0,13.95,HP,Elitebook,Intel,Upper-mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,False,False,False,False,False,False,False,False,False,False,False,False,7000000.0,15.76142084987672,chotot,0,0,0,0,0
8.0,127.0,15.95,MSI,Other,Intel,Upper-mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Expired,False,True,False,False,False,False,False,False,False,False,False,False,False,3800000.0,15.150511887854474,chotot,0,1,0,0,0
4.0,,,Apple,MacBook Air,Intel,Mid,Integrated - Intel,Other,Đã sử dụng (chưa sửa chữa),Manufacturer,False,False,False,True,True,False,False,False,False,False,False,False,False,5000000.0,15.424948670398354,chotot,0,0,0,0,0
16.0,256.0,13.95,Apple,Macbook air m4,Apple,Mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,22490000.0,16.928581368399705,chotot,0,0,0,0,0
8.0,256.0,13.95,Dell,Latitude,Intel,Upper-mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,6599999.0,15.702580206996654,chotot,0,0,0,0,0
8.0,256.0,13.95,Lenovo,Other,Intel,Mid,Other,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,False,False,False,False,False,True,False,False,False,False,False,False,3800000.0,15.150511887854474,chotot,0,1,0,0,1
8.0,256.0,13.95,Other,Other,Intel,Mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Expired,False,False,False,False,False,False,False,False,False,False,False,False,False,3900000.0,15.1764873675101,chotot,1,1,0,0,0
4.0,127.0,13.95,HP,Other,Intel,Entry,Other,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,True,False,False,False,False,False,False,2200000.0,14.603968372873895,chotot,0,1,0,0,1
8.0,256.0,,Dell,Other,Intel,Upper-mid,Other,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,True,False,False,False,False,False,False,False,False,4900000.0,15.404745967162468,chotot,0,1,0,0,1
16.0,256.0,13.95,Lenovo,Other,Intel,Upper-mid,Integrated - AMD Radeon,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,False,False,False,False,False,False,False,False,False,6900000.0,15.747032114495012,chotot,0,1,0,0,0
8.0,256.0,15.95,MSI,Other,AMD,Mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,False,False,False,False,False,False,False,False,False,6500000.0,15.687312888712007,chotot,0,1,0,0,0
8.0,127.0,13.95,Dell,Latitude,Intel,Mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,2999000.0,14.913789791175573,chotot,0,0,0,0,0
16.0,512.0,15.95,HP,Other,Intel,Mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Active,False,True,False,False,False,False,False,False,False,False,False,False,False,14900000.0,16.51687183802978,chotot,0,1,0,0,0
16.0,500.0,15.95,HP,Other,Intel,Upper-mid,Dedicated - Other/Entry,Other,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,False,False,False,False,False,False,False,False,False,15000000.0,16.52356082573315,chotot,0,1,0,0,0
16.0,256.0,15.95,Microsoft,Other,Intel,Upper-mid,Other,Other,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,False,False,True,False,False,False,False,False,False,10900000.0,16.204273438942487,chotot,0,1,0,0,1
8.0,256.0,15.95,Dell,Vostro,Intel,Mid,Integrated - AMD Radeon,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,4500000.0,15.319588176962746,chotot,0,0,0,0,0
8.0,256.0,13.95,Dell,Other,Intel,Upper-mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Expired,False,False,False,False,False,False,False,False,False,False,False,False,False,5000000.0,15.424948670398354,chotot,0,1,0,0,0
8.0,256.0,13.95,Lenovo,Other,Intel,Mid,Dedicated - Other/Entry,SSD,Đã sử dụng (chưa sửa chữa),Manufacturer,False,True,False,False,False,False,False,False,False,False,False,False,False,5500000.0,15.520258832020865,chotot,0,1,0,0,0
8.0,256.0,13.95,HP,Elitebook,Intel,Mid,Integrated - Intel,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,False,False,False,False,False,False,False,6500000.0,15.687312888712007,chotot,0,0,0,0,0
16.0,256.0,13.95,Dell,XPS 13,Intel,Upper-mid,Other,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,True,False,False,False,False,False,False,9000000.0,16.012735246411598,chotot,0,0,0,0,1
8.0,,,ASUS,Other,Intel,Mid,Dedicated - Other/Entry,Other,Đã sử dụng (chưa sửa chữa),Manufacturer,False,False,False,True,True,False,False,False,False,False,False,False,False,5000000.0,15.424948670398354,chotot,0,1,0,0,0
16.0,256.0,15.95,Other,Other,Intel,Upper-mid,Other,SSD,Đã sử dụng (chưa sửa chữa),Active,False,False,False,False,False,False,True,False,False,False,False,False,False,7000000.0,15.76142084987672,chotot,1,1,0,0,1
