source,source_row_id,merged_row_id,url,title,target_price,log_target_price,target_price_source,target_price_is_outlier,target_price_missing,brand_clean,brand_grouped,brand_is_rare,model_clean,model_grouped,model_is_rare,ram_gb,storage_gb,screen_size_inch,cpu_name_raw,cpu_type,cpu_model_clean,cpu_brand,cpu_tier,gpu_tier,gpu_tier_v2,storage_type_clean,condition_clean,warranty_months,warranty_status,has_warranty,origin_clean,ram_missing,storage_missing,screen_missing,cpu_missing,gpu_missing,ram_suspicious,storage_suspicious,screen_suspicious,potential_dedicated_gpu,repair_mismatch,price_spread_clean_pct,flag_price_spread_warn,flag_price_spread_critical,is_soft_duplicate_spec,merged_spec_key,is_cross_source_soft_duplicate
chotot,0,0,https://www.chotot.com/mua-ban-quan-tan-binh-tp-ho-chi-minh/121607693.htm,Laptop 2in1 Dell 7420 I7 1185G7/16G/256G,9990000.0,16.11709525072483,listing_price,False,False,Dell,Dell,False,Latitude,Latitude,False,16.0,256.0,13.95,Unknown,,,Intel,Upper-mid,Integrated - Intel,,SSD,Đã sử dụng (chưa sửa chữa),13.0,Active,True,Mỹ,False,False,False,False,False,False,False,False,False,False,,False,False,False,Dell|Latitude|Intel|Upper-mid|16|256|13.9|Integrated - Intel,False
chotot,1,1,https://www.chotot.com/mua-ban-thanh-pho-thu-dau-mot-binh-duong/130109389.htm,Acer Aspire A315-58 i3-1115G4,4500000.0,15.319588176962746,listing_price,False,False,Acer,Acer,False,Aspire A3,Other,True,8.0,127.0,15.95,Unknown,,,Intel,Entry,Integrated - Intel,,SSD,Đã sử dụng (chưa sửa chữa),,Manufacturer,True,Unknown,False,False,False,False,False,False,False,False,False,False,,False,False,False,Acer|Other|Intel|Entry|8|127|15.9|Integrated - Intel,False
chotot,2,2,https://www.chotot.com/mua-ban-quan-ha-dong-ha-noi/132012438.htm,Thanh lý Laptop HP Elite x2 1012G1 cảm ứng 2in1,3500000.0,15.068273812173887,listing_price,False,False,HP,HP,False,Elite X2,Other,True,8.0,512.0,11.95,Unknown,,,Intel,Upper-mid,Integrated - Intel,,SSD,Đã sử dụng (chưa sửa chữa),,Manufacturer,True,Unknown,False,False,False,False,False,False,False,False,False,False,,False,False,False,HP|Other|Intel|Upper-mid|8|512|11.9|Integrated - Intel,False
chotot,3,3,https://www.chotot.com/mua-ban-quan-7-tp-ho-chi-minh/131544483.htm,Dell Pro Rugged RB14250 Ultra 7-165U 32GB 512GB,37500000.0,17.439851517607305,listing_price,False,False,Dell,Dell,False,Pro Rugged 14,Other,True,32.0,512.0,13.95,Unknown,,,Intel,Other,Integrated - Intel,,SSD,Đã sử dụng (chưa sửa chữa),13.0,Active,True,Mỹ,False,False,False,False,False,False,False,False,False,False,,False,False,False,Dell|Other|Intel|Other|32|512|13.9|Integrated - Intel,False
chotot,4,4,https://www.chotot.com/mua-ban-quan-12-tp-ho-chi-minh/122814284.htm,HP Spectre x360 13-ae015dx i7 cảm ứng gập 360 độ,7990000.0,15.893701442898895,listing_price,False,False,HP,HP,False,Spectre,Other,True,16.0,256.0,13.95,Unknown,,,Unknown,Missing,Integrated - Intel,,SSD,Đã sử dụng (chưa sửa chữa),3.0,Active,True,Unknown,False,False,False,True,False,False,False,False,False,False,,False,False,False,HP|Other|Unknown|Missing|16|256|13.9|Integrated - Intel,False
chotot,5,5,https://www.chotot.com/mua-ban-thanh-pho-bien-hoa-dong-nai/132064996.htm,HP Elitebook 840 G5 i7 8650U 8GB/256GB,5990000.0,15.605602137036527,listing_price,False,False,HP,HP,False,Elitebook 800,Elitebook 800,False,8.0,256.0,13.95,i7 8650u,,,Intel,Upper-mid,Integrated - Intel,,SSD,Đã sử dụng (chưa sửa chữa),3.0,Active,True,Mỹ,False,False,False,False,False,False,False,False,False,False,,False,False,False,HP|Elitebook 800|Intel|Upper-mid|8|256|13.9|Integrated - Intel,False
chotot,6,6,https://www.chotot.com/mua-ban-quan-nam-tu-liem-ha-noi/132002142.htm,Dell Latitude 7300 i5 13 inch 12GB/256GB,6000000.0,15.607270193858982,listing_price,False,False,Dell,Dell,False,Latitude 13 7000,Other,True,16.0,256.0,13.95,Unknown,,,Intel,Mid,Integrated - Intel,,SSD,Đã sử dụng (chưa sửa chữa),,Manufacturer,True,Unknown,False,False,False,False,False,False,False,False,False,False,,False,False,False,Dell|Other|Intel|Mid|16|256|13.9|Integrated - Intel,False
chotot,7,7,https://www.chotot.com/mua-ban-quan-10-tp-ho-chi-minh/131421778.htm,MacBook Air 2019 | Core i5 | 16GB | 256GB,9990000.0,16.11709525072483,listing_price,False,False,Apple,Apple,False,MacBook Air,MacBook Air,False,16.0,256.0,13.95,Unknown,,,Intel,Mid,Missing,,SSD,Đã sử dụng (chưa sửa chữa),,Manufacturer,True,Unknown,False,False,False,False,True,False,False,False,False,False,,False,False,False,Apple|MacBook Air|Intel|Mid|16|256|13.9|Missing,False
chotot,8,8,https://www.chotot.com/mua-ban-quan-bac-tu-liem-ha-noi/127560353.htm,Acer Nitro Tiger 12700H RTX 3050 keng hãng 99%,16500000.0,16.61887099947687,listing_price,False,False,Acer,Acer,False,Nitro 5,Nitro 5,False,16.0,512.0,15.95,Unknown,,,Intel,Upper-mid,Dedicated - Other/Entry,,SSD,Đã sử dụng (chưa sửa chữa),,Active,True,Việt Nam,False,False,False,False,False,False,False,False,False,False,,False,False,False,Acer|Nitro 5|Intel|Upper-mid|16|512|15.9|Dedicated - Other/Entry,False
chotot,9,9,https://www.chotot.com/mua-ban-quan-le-chan-hai-phong/131692488.htm,Apple MacBook Pro 2017 i5 ram 8/128g zin all 99%,4650000.0,15.35237799261728,listing_price,False,False,Apple,Apple,False,MacBook Pro,MacBook Pro,False,8.0,128.0,,Unknown,,,Intel,Mid,Missing,,SSD,Đã sử dụng (chưa sửa chữa),,Manufacturer,True,Việt Nam,False,False,True,False,True,False,False,False,False,False,,False,False,False,Apple|MacBook Pro|Intel|Mid|8|128|Unknown|Missing,False
chotot,10,10,https://www.chotot.com/mua-ban-thanh-pho-thu-duc-tp-ho-chi-minh/131255276.htm,Apple MacBook Air 2013 i5 4GB/128GB,3500000.0,15.068273812173887,listing_price,False,False,Apple,Apple,False,MacBook Air,MacBook Air,False,4.0,127.0,,Unknown,,,Intel,Mid,Missing,,SSD,Đã sử dụng (chưa sửa chữa),0.0,Expired,False,Unknown,False,False,True,False,True,False,False,False,False,False,,False,False,False,Apple|MacBook Air|Intel|Mid|4|127|Unknown|Missing,False
chotot,11,11,https://www.chotot.com/mua-ban-quan-binh-thanh-tp-ho-chi-minh/131983029.htm,Dell Precision 5560 - Mỏng nhẹ chuẩn doanh nhân!!,20500000.0,16.835935492889124,listing_price,False,False,Dell,Dell,False,Precision,Precision,False,16.0,512.0,15.95,Unknown,,,Intel,Upper-mid,Dedicated - Other/Entry,,SSD,Đã sử dụng (chưa sửa chữa),3.0,Active,True,Unknown,False,False,False,False,False,False,False,False,False,False,,False,False,False,Dell|Precision|Intel|Upper-mid|16|512|15.9|Dedicated - Other/Entry,False
