section,metric,value
shape,row_count_before,4384
shape,row_count_after,4384
shape,column_count_before,15
shape,column_count_after,67
duplicates,full_duplicate_removed,0
duplicates,soft_duplicate_spec_rows,2516
price,domain_price_cells_nulled,4
price,relative_price_cells_nulled,53
price,price_spread_warn_rows,583
price,price_spread_critical_rows,142
screen,screen_size_outlier_nulled,85
ram,ram_capacity_outlier_nulled,2
storage,storage_gb_outlier_nulled,0
missing_before_after,Công nghệ CPU,"{""before"": 94, ""after"": 94}"
missing_before_after,Dung lượng RAM,"{""before"": 21, ""after"": 21}"
missing_before_after,Dung lượng ổ cứng (GB),"{""before"": 225, ""after"": 225}"
missing_before_after,Hãng sản xuất,"{""before"": 180, ""after"": 180}"
missing_before_after,Kích thước (inch),"{""before"": 11, ""after"": 11}"
missing_before_after,Loại CPU,"{""before"": 69, ""after"": 69}"
missing_before_after,Loại RAM,"{""before"": 318, ""after"": 318}"
missing_before_after,Loại ổ cứng,"{""before"": 219, ""after"": 219}"
missing_before_after,brand_clean,"{""before"": null, ""after"": 0}"
missing_before_after,brand_grouped,"{""before"": null, ""after"": 0}"
missing_before_after,brand_is_rare,"{""before"": null, ""after"": 0}"
missing_before_after,brand_screen_cell_n,"{""before"": null, ""after"": 0}"
missing_before_after,cpu_brand,"{""before"": null, ""after"": 0}"
missing_before_after,cpu_model_clean,"{""before"": null, ""after"": 0}"
missing_before_after,cpu_ram_cell_n,"{""before"": null, ""after"": 0}"
missing_before_after,cpu_tier,"{""before"": null, ""after"": 0}"
missing_before_after,flag_price_spread_critical,"{""before"": null, ""after"": 0}"
missing_before_after,flag_price_spread_warn,"{""before"": null, ""after"": 0}"
missing_before_after,gpu_brand,"{""before"": null, ""after"": 0}"
missing_before_after,gpu_ram_cell_n,"{""before"": null, ""after"": 0}"
missing_before_after,gpu_tier_v2,"{""before"": null, ""after"": 0}"
missing_before_after,high_end_config_flag,"{""before"": null, ""after"": 0}"
missing_before_after,is_soft_duplicate_spec,"{""before"": null, ""after"": 0}"
missing_before_after,log_price_median,"{""before"": null, ""after"": 0}"
missing_before_after,low_count_brand_screen_cell,"{""before"": null, ""after"": 0}"
missing_before_after,low_count_cpu_ram_cell,"{""before"": null, ""after"": 0}"
missing_before_after,low_count_gpu_ram_cell,"{""before"": null, ""after"": 0}"
missing_before_after,n_prices_clean,"{""before"": null, ""after"": 0}"
missing_before_after,n_prices_raw,"{""before"": null, ""after"": 0}"
missing_before_after,price_max_clean,"{""before"": null, ""after"": 0}"
missing_before_after,price_median,"{""before"": null, ""after"": 0}"
missing_before_after,price_min_clean,"{""before"": null, ""after"": 0}"
missing_before_after,price_row_median_domain,"{""before"": null, ""after"": 0}"
missing_before_after,price_segment,"{""before"": null, ""after"": 0}"
missing_before_after,price_spread_clean_pct,"{""before"": null, ""after"": 0}"
missing_before_after,product_id,"{""before"": null, ""after"": 0}"
missing_before_after,ram_capacity_outlier,"{""before"": null, ""after"": 0}"
missing_before_after,ram_gb_clean,"{""before"": null, ""after"": 23}"
missing_before_after,ram_tier_clean,"{""before"": null, ""after"": 0}"
