shop_1_name,product_id,spec_key,brand_clean,cpu_model_clean,ram_gb_clean,storage_gb_clean,screen_size_clean,shop_2_name,shop_3_name,shop_1_price_clean,shop_2_price_clean,shop_3_price_clean,price_median,price_spread_clean_pct,flag_price_spread_warn,flag_price_spread_critical,sample_group,shop_1_price_relative_outlier,shop_2_price_relative_outlier,shop_3_price_relative_outlier,shop_1_price_domain_outlier,shop_2_price_domain_outlier,shop_3_price_domain_outlier,Kích thước (inch),screen_size_outlier,Dung lượng RAM,ram_capacity_outlier,Hãng sản xuất,brand_grouped
tuandigi.vn,1153,ASUS|226V|16.0|512.0|14.0,ASUS,226V,16.0,512.0,14.0,tuanapple.vn,kimlongcenter.com,18500000.0,18500000.0,21900000.0,18500000.0,0.1837837837837838,False,False,normal_rows,,,,,,,,,,,,
cameranhapkhau.com,688,ASUS|8265U|8.0|512.0|13.3,ASUS,8265U,8.0,512.0,13.3,compro.com.vn,hoangtuan.vn,21350000.0,21790000.0,22490000.0,21790000.0,0.0523175768701239,False,False,normal_rows,,,,,,,,,,,,
compro.com.vn,536,HP|7100U|4.0|1024.0|14.0,HP,7100U,4.0,1024.0,14.0,hopthanhthinh.com,laptopfull.com,12150000.0,12190000.0,12190000.0,12190000.0,0.0032813781788351,False,False,normal_rows,,,,,,,,,,,,
fptshop.com.vn,3466,HP|125H|24.0|512.0|14.0,HP,125H,24.0,512.0,14.0,philong.com.vn,laptopworld.vn,22490000.0,21190000.0,21590000.0,21590000.0,0.0602130616025937,False,False,normal_rows,,,,,,,,,,,,
vitinhminhhoang.vn,3550,ASUS|5800H|16.0|512.0|15.6,ASUS,5800H,16.0,512.0,15.6,sieuthivienthong.org,smarttechpcvn.com,22760000.0,22790000.0,22950000.0,22790000.0,0.0083369899078543,False,False,normal_rows,,,,,,,,,,,,
mylook.vn,1448,ASUS|3500U|4.0|256.0|14.0,ASUS,3500U,4.0,256.0,14.0,compro.com.vn,songphuong.vn,11419000.0,11590000.0,12590000.0,11590000.0,0.1010353753235547,False,False,normal_rows,,,,,,,,,,,,
maytinhkiengiang.com,3025,MSI|10210U|8.0|512.0|15.6,MSI,10210U,8.0,512.0,15.6,mayvanphongonline.com,vitinhtruongthinh.com,13950000.0,16700000.0,17290000.0,16700000.0,0.2,False,False,normal_rows,,,,,,,,,,,,
nhanhavui.com.vn,1811,HP|125H|16.0|Unknown|16.0,HP,125H,16.0,,16.0,eaz.com.vn,laptop123.com.vn,23990000.0,22399000.0,22400000.0,22400000.0,0.0710267857142857,False,False,normal_rows,,,,,,,,,,,,
dienmayxanh.com,2582,Lenovo|7520U|16.0|512.0|15.6,Lenovo,7520U,16.0,512.0,15.6,eaz.com.vn,pc.pro.vn,13190000.0,11099000.0,12290000.0,12290000.0,0.1701383238405207,False,False,normal_rows,,,,,,,,,,,,
cameranhapkhau.com,414,Unknown|8565U|8.0|Unknown|14.0,Unknown,8565U,8.0,,14.0,laptopfull.com,laptop36.vn,25470000.0,22790000.0,25450000.0,25450000.0,0.1053045186640471,False,False,normal_rows,,,,,,,,,,,,
laptopthinkpad.com,4191,Lenovo|4650U|8.0|256.0|14.0,Lenovo,4650U,8.0,256.0,14.0,laptophitech.vn,tncstore.vn,11800000.0,12500000.0,21990000.0,12500000.0,0.8152,True,True,critical_price_spread_rows,,,,,,,,,,,,
shopee.vn,554,HP|8145U|4.0|1024.0|14.0,HP,8145U,4.0,1024.0,14.0,maytinhquanganh.com,laptopfull.com,5500000.0,4890000.0,10759000.0,5500000.0,1.067090909090909,True,True,critical_price_spread_rows,,,,,,,,,,,,
cameranhapkhau.com,2383,HP|8265U|4.0|1024.0|15.6,HP,8265U,4.0,1024.0,15.6,thegioimaytinh.net.vn,vodien.vn,14450000.0,6900000.0,7600000.0,7600000.0,0.993421052631579,True,True,critical_price_spread_rows,,,,,,,,,,,,
vodien.vn,2923,ASUS|4210U|4.0|524.0|15.6,ASUS,4210U,4.0,524.0,15.6,phucanshop.com,laptopminhha.vn,4990000.0,8599000.0,12690000.0,8599000.0,0.8954529596464705,True,True,critical_price_spread_rows,,,,,,,,,,,,
saleslaptop.vn,1612,Unknown|4030U|4.0|500.0|14.0,Unknown,4030U,4.0,500.0,14.0,phucanshop.com,4tcomputer.vn,4500000.0,8499000.0,9490000.0,8499000.0,0.5871278973996941,True,True,critical_price_spread_rows,,,,,,,,,,,,
thuanthientech.vn,404,ASUS|10510U|16.0|1024.0|14.0,ASUS,10510U,16.0,1024.0,14.0,songphuong.vn,laptopfull.com,29500000.0,29990000.0,45409000.0,29990000.0,0.5304768256085362,True,True,critical_price_spread_rows,,,,,,,,,,,,
tinhocsangtao.vn,3029,HP|1335U|16.0|512.0|15.6,HP,1335U,16.0,512.0,15.6,shopee.vn,vodien.vn,14990000.0,19590000.0,11000000.0,14990000.0,0.5730486991327551,True,True,critical_price_spread_rows,,,,,,,,,,,,
hungphuc.vn,1950,Unknown|1115G4|8.0|Unknown|14.0,Unknown,1115G4,8.0,,14.0,shopee.vn,nqkcomputer.com,9390000.0,18400000.0,6500000.0,9390000.0,1.2673056443024495,True,True,critical_price_spread_rows,,,,,,,,,,,,
hkc.vn,1999,Apple|UNKNOWN|8.0|256.0|13.3,Apple,UNKNOWN,8.0,256.0,13.3,muabandienthoai24h.vn,vnit.vn,36355000.0,21700000.0,23000000.0,23000000.0,0.6371739130434783,True,True,critical_price_spread_rows,,,,,,,,,,,,
shopee.vn,535,HP|N4020|4.0|128.0|14.0,HP,N4020,4.0,128.0,14.0,dienmaytrananh.com,vitinhthienlong.com,7500000.0,4100000.0,4350000.0,4350000.0,0.7816091954022989,True,True,critical_price_spread_rows,,,,,,,,,,,,
laptopnow.vn,802,ASUS|1135G7|8.0|512.0|14.0,ASUS,1135G7,8.0,512.0,14.0,anp.com.vn,maytinhf5.vn,20000000.0,31490000.0,32100000.0,31490000.0,0.3842489679263258,True,False,warn_price_spread_rows,,,,,,,,,,,,
laptopxaydung.com,4345,Lenovo|5300U|8.0|256.0|14.0,Lenovo,5300U,8.0,256.0,14.0,saolaptop.vn,thegioilaptop24h.com,8500000.0,10200000.0,11900000.0,10200000.0,0.3333333333333333,True,False,warn_price_spread_rows,,,,,,,,,,,,
hungphuc.vn,1555,HP|1235U|8.0|256.0|15.6,HP,1235U,8.0,256.0,15.6,tinhocsangtao.vn,cameranhapkhau.com,12680000.0,14690000.0,17853103.0,14690000.0,0.3521513274336283,True,False,warn_price_spread_rows,,,,,,,,,,,,
duyhai.vn,2831,Dell|12800H|32.0|Unknown|14.0,Dell,12800H,32.0,,14.0,laptop3mien.vn,kinglap.vn,35900000.0,59900000.0,62000000.0,59900000.0,0.4357262103505843,True,False,warn_price_spread_rows,,,,,,,,,,,,
maytinhgiare.vn,3898,Acer|7200U|4.0|1024.0|15.6,Acer,7200U,4.0,1024.0,15.6,compro.com.vn,anhtaigroup.com,8890000.0,11450000.0,13350000.0,11450000.0,0.3895196506550218,True,False,warn_price_spread_rows,,,,,,,,,,,,
ben.com.vn,3943,HP|155H|16.0|512.0|16.0,HP,155H,16.0,512.0,16.0,cphub.vn,hitechpro.vn,34201000.0,20369000.0,29390000.0,29390000.0,0.4706362708404219,True,False,warn_price_spread_rows,,,,,,,,,,,,
hkc.vn,2455,HP|1235U|8.0|256.0|15.6,HP,1235U,8.0,256.0,15.6,hungphuc.vn,tiki.vn,16560000.0,17190000.0,23628000.0,17190000.0,0.4111692844677138,True,False,warn_price_spread_rows,,,,,,,,,,,,
hoanghamobile.com,1238,ASUS|13500H|16.0|512.0|14.0,ASUS,13500H,16.0,512.0,14.0,hacom.vn,kimlongcenter.com,17690000.0,10999000.0,15400000.0,15400000.0,0.4344805194805194,True,False,warn_price_spread_rows,,,,,,,,,,,,
tinhocsangtao.vn,4052,ASUS|1335U|16.0|512.0|16.0,ASUS,1335U,16.0,512.0,16.0,dienmayxanh.com,vodien.vn,14790000.0,15490000.0,11000000.0,14790000.0,0.3035835023664638,True,False,warn_price_spread_rows,,,,,,,,,,,,
shopee.vn,3971,Lenovo|7435HS|12.0|512.0|15.6,Lenovo,7435HS,12.0,512.0,15.6,eaz.com.vn,tymo.vn,29990000.0,22699000.0,22790000.0,22790000.0,0.3199210179903466,True,False,warn_price_spread_rows,,,,,,,,,,,,
