Hãng sản xuất,Công nghệ CPU,Loại CPU,Dung lượng RAM,Loại RAM,Loại ổ cứng,Dung lượng ổ cứng (GB),Đồ họa đã làm sạch,Kích thước (inch),shop_1_price,shop_1_name,shop_2_price,shop_2_name,shop_3_price,shop_3_name
Acer,Intel Core i5,8265U,8.0,DDR4,SSD,512.0,Intel UHD Graphics,14.0,14950000,baochau.vn,15950000,quangmai.net,15990000.0,compro.com.vn
Lg,Intel Core i7,1165G7,16.0,LPDDR4x,SSD,512.0,Intel Iris Xe,17.0,32640000,tiki.vn,47500000,tinhocsangtao.vn,35190000.0,mixicomputer.vn
Lenovo,AMD Ryzen 7,8845HS,16.0,DDR5,SSD,512.0,RTX 4060,16.0,30900000,congnghesgsaigon.com,31490000,tnc.com.vn,33490000.0,tymo.vn
Lenovo,AMD Ryzen 7,7840H,16.0,LPDDR5,SSD,512.0,RTX4060,15.6,23900000,redlaptop.vn,23990000,laptopk1.vn,24900000.0,laptoptcc.com
Msi,Intel Core Ultra 7,255HX,16.0,DDR5,SSD,512.0,RTX 5070,16.0,54790000,dienmayxanh.com,62990000,cellphones.com.vn,62990000.0,fptshop.com.vn
,Intel Core i9,13980HX,64.0,DDR5,,4096.0,Unknown,380.0,96599000,eaz.com.vn,98190000,laptopre.vn,101990000.0,robo.vn
Lenovo,Intel Core Ultra 7,255H,32.0,LPDR5x,SSD,1024.0,Intel Arc Graphics,13.3,31490000,tnc.com.vn,43900000,vietmob.com,44490000.0,compro.vn
Dell,Intel Core i3,1305U,8.0,DDR4,SSD,512.0,Intel UHD Graphics,15.6,11980000,hungphuc.vn,12690000,hoanghamobile.com,12990000.0,mediamart.vn
Gigabyte,Intel Core i7,13700H,16.0,DDR5,SSD,512.0,RTX 4050,16.0,22900000,vitinhmanhphat.com,23490000,sp-one.vn,23890000.0,trungtran.vn
,,,16.0,,,,AMD Radeon Graphics,16.0,50899000,happytechstore.vn,51900000,laptopxaydung.com,51990000.0,ngoisaobang.com
Asus,Intel Core i3,1005G1,4.0,DDR4,SSD,128.0,Intel UHD Graphics,15.6,12200000,tic.vn,12200000,dienmay.xyz,12690000.0,laptopcuxachtay.vn
Acer,AMD Ryzen 3,3200U,4.0,DDR4,SSD,256.0,AMD Radeon Graphics,15.6,9400000,vinhhung.com.vn,9500000,compro.com.vn,9990000.0,sieuviet.vn
Hp,AMD Ryzen 7,7840HS,32.0,DDR5,SSD,512.0,RTX 4060,16.1,36710182,dienmayxanh.com,31699000,eaz.com.vn,31990000.0,pc.pro.vn
Acer,Intel Core i7,9750H,8.0,DDR4,SSD,512.0,Unknown,15.6,24350000,quangmai.net,26870000,ababa.com.vn,27250000.0,compro.com.vn
Asus,Intel Core i5,1135G7,8.0,DDR4,SSD,512.0,Intel Iris Xe,14.0,17300000,tinhocsangtao.vn,17300000,vitinhsangtao.vn,18900000.0,compro.com.vn
Dell,Intel Core i5,11300H,8.0,DDR4,SSD,512.0,Intel Iris Xe,13.3,21199000,eaz.com.vn,22400000,compro.com.vn,22590000.0,anp.com.vn
Dell,Intel Core 7,240H,16.0,DDR5,SSD,1024.0,Intel Iris Xe,14.0,16550000,dienmaynguyenduc.vn,16900000,laptopre.vn,17000000.0,laptoptcc.com
,Intel Core i5,,16.0,,,,Intel Iris Xe,304.1,31499000,hnammobile.com,30150000,truesmart.com.vn,31900000.0,laptopxaydung.com
Msi,Intel Core i5,1235U,8.0,DDR4,SSD,512.0,Intel Iris Xe,15.6,11490000,dienmayxanh.com,18500000,shopee.vn,9500000.0,vodien.vn
Apple,Apple M1 Max,10‑core,64.0,,SSD,2048.0,Apple GPU,16.2,99990000,9tech.com.vn,109000000,ngoisaobang.com,111990000.0,apple8.com.vn
Samsung,Intel Core Ultra 7,155H,16.0,LPDDR5x,SSD,1024.0,Intel Arc Graphics,16.0,28500000,hungphatlaptop.com,38990000,laptoptld.com,47900000.0,vanphatmobile.com
Hp,Intel Core i7,1165G7,8.0,DDR4,SSD,512.0,Intel Iris Xe,14.0,13700000,ducvietco.com,19656000,mayina0.com,20169000.0,smnet.vn
