Hãng sản xuất,Hệ điều hành,Chất liệu vỏ,Công nghệ CPU,Loại CPU,Tốc độ CPU,Tốc độ tối đa,Loại RAM,Dung lượng RAM,Loại ổ cứng,Dung lượng ổ cứng,Kích thước,Độ phân giải,Công nghệ màn hình,Bộ xử lý,Kiểu card đồ họa,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Webcam,Tính năng khác,Kích thước_2,Trọng lượng,source_url,shop_1_name,shop_1_price,shop_1_link,shop_2_name,shop_2_price,shop_2_link,shop_3_name,shop_3_price,shop_3_link,Tốc độ bus,Hỗ trợ RAM tối đa,Đèn bàn phím,Dung lượng,Khe thẻ nhớ,Loại Pin,Dung lượng VGA
Microsoft,Windows 11 Home,Nhôm,Intel Core Ultra 5,135U,3.6 GHz,4.4 GHz,LPDDR5x,16 GB,SSD,512GB,13 inch,227 PPI (2880 x 1920),"600 nits, 120Hz",Intel Arc Graphics,Card tích hợp,Dolby Atmos,"2 x USB-C, 1 x USB-A 3.1, 1 x Cổng Surface connect","Wifi 802.11ax, Bluetooth 5.3",Full HD Webcam,TPM 2.0,287 x 208.6 x 9.3 mm,0.879 kg,https://websosanh.vn/laptop-microsoft-surface-pro-10-intel-core-ultra-5-135u/369829851/so-sanh.htm,surfacechain.vn,30499000,https://surfacechain.vn/surface-pro-10-intel-core-ultra-5-135u-ram-16gb-ssd-256gb-512gb-new/,tritienlaptop.com,30999000,https://tritienlaptop.com/surface-pro-10-intel-core-ultra-5-135u-ram-16gb-ssd-512gb-new/,surfacecenter.com.vn,32490000,https://surfacecenter.com.vn/surface-pro-10-core-ultra-5-16gb-512gb-new/,,,,,,,
Lenovo,Windows 11 Home,Nhựa,Intel core i7,13620H,3.6 GHz,4.9 GHz,DDR4,16 GB,SSD,512 GB,15.5 inch,1920x1080,IPS,Intel Iris Xe Graphics,Card tích hợp,,"1x USB 2.0
1x USB 3.2 Gen 1
1x USB-C® 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.2)
1x HDMI® 1.4b
1x Headphone / microphone combo jack (3.5mm)
1x Ethernet (RJ-45)
1x Power connector","Wifi 6
v5.2",HD Webcam (720p Webcam),Mở khóa bằng mật mã,359.8 x 235.3 x 19.5-19.5 mm,1.7 kg,https://websosanh.vn/laptop-lenovo-v15-g4-iru-83a100rhvn-intel-core-i7/1032902741/so-sanh.htm,mediamart.vn,17590000,https://gotrackecom.info/v0/PNH7aNSG4goF2ti0s0AeFA?url=https%3a%2f%2fmediamart.vn%2flaptop%2flaptop-lenovo-v15-g4-iru-83a100rhvn-i7-13620h-16gb-512gb-15-6-fhd-w11-2y,hoanghamobile.com,18990000,https://fast.accesstrade.com.vn/deep_link/4348611826491973833?url=https%3a%2f%2fhoanghamobile.com%2flaptop%2flaptop-lenovo-v15-g4-iru-83a100rhvn&utm_source=websosanh,saithanhlaptop.com,16990000,https://saithanhlaptop.com/chi-tiet-lenovo-v15-g4-iru-83a100rhvn-core-i7-13620h-16gb-512gb-156-inch-fhd-win-11-xam.html,3200 MHz,16 GB,Không,,,,
Lenovo,FreeDOS,Nhôm,AMD Ryzen 7,5800U,1.9 GHz,4.4 GHz,LPDDR4x,8 GB,SSD,512GB,13.3 inch,WUXGA (1920 x 1200),Tấm nền IPS,AMD Radeon Graphics,Card tích hợp,Dolby Audio,"1x USB 3.2 Gen 1, 1x USB 3.2 Gen 1, 1x HDMI 2.0","Wifi 802.11ax, Bluetooth v5.0",HD Webcam,,299 x 210 x 14.9 mm,1.26 kg,https://websosanh.vn/laptop-lenovo-thinkbook-13s-g3-acn-20ya003jvn-ryzen-7-5800u/1061500320/so-sanh.htm,mixicomputer.vn,15290000,https://mixicomputer.vn/laptop-lenovo-thinkbook-13s-g3-acn-20ya003jvn-ryzen-7-5800u-8gb-512gb-ssd133wuxga-vga-ondos-grey-nhom2y,maytinhdatcang.vn,15490000,https://maytinhdatcang.vn/laptop-lenovo-thinkbook-13s-g3-acn-20ya003jvn-ryzen-7-5800u-8gb-512gb-ssd13-3-p4763.html,eaz.com.vn,15799000,https://eaz.com.vn/Lenovo-ThinkBook-13s-G3-ACN-(20YA003JVN)-AMD-RyzenTM-7-5800U-8GB-512GB-SSD-PCIe-RadeonTM-Graphics-Vega-13-3-inch-WUXGA-IPS-FreeDos-Finger-LED-KEY-0622/76071,4266 MHz,,Không,4 cell,,,
Acer,Windows 10 Home,Nhôm,Intel Core i7,8750H,2.2 GHz,4.1 GHz,DDR4,16 GB,SSD,256GB,15.6 inch,Full HD (1920 x 1080),IPS Narrow Border,Intel UHD Graphics 630,Card tích hợp,True Harmony,"1 x HDMI, 3 x USB 3.0 , 1 x Thunderbolt , LAN 1 Gb/s","WiFi 802.11ac , Bluetooth 5.0",HD Webcam,,358.5 x 255 x 17.9 mm,2.1 kg,https://websosanh.vn/laptop-acer-predator-triton-500-pt515-51-7391-nhq50sv003-intel-core/1946189487/so-sanh.htm,nnkk.vn,49090000,https://www.nnkk.vn/laptop-acer-predator-triton-500-pt515-51-7391-nhq50sv003.html,laptopfull.com,49490000,https://laptopfull.com/laptop-acer-gaming/predator-triton-500-pt515-51-7391/,tic.vn,49899000,https://tic.vn/laptop-acer-predator-triton-500-pt515-51-7391-nh-q50sv-003,2666 MHz,32 GB,Không,4 cell,SD,Pin liền,
Acer,Windows 11 Home,,AMD Ryzen 5,5500U,2.1 GHz,,,16 GB,SSD,512GB,14 inch,Full HD (1920 x 1080),IPS LED LCD,AMD Radeon Graphics,Card rời,,"2 x USB 3.2 Gen 1 ports with one featuring power-off USB charging, 1 x 3.5 mm headphone/speaker jack, supporting headsets with built-in, microphone, 1 x DC-in jack for AC adapter, 1 x HDMI®2.0 port with HDCP support.","Intel Wireless Wi-Fi 6 AX201 2x2 MU-MIMO technology, Bluetooth® 5.1",Có,Led Keyboard; Finger Print; bản lề mở 180o,322.8 x 212 x 16 mm,1.2 kg,https://websosanh.vn/laptop-acer-swift-3-sf314-43-r4x3-nxab1sv004-amd-ryzen-5-5500u/1934204245/so-sanh.htm,nhanhavui.com.vn,13890000,https://nhanhavui.com.vn/laptop/acer-swift-3-sf31443r4x3,hungphuc.vn,15750000,https://www.hungphuc.vn/laptop-acer/laptop-acer-swift-3-sf31443r4x3-nxab1sv004,eaz.com.vn,13299000,https://eaz.com.vn/Acer-Swift-3-SF314-43-R4X3-(NX-AB1SV-004)-AMD-Ryzen-5-5500U-16GB-512GB-SSD-14-FHD-IPS-Win11-Finger-Bac-0222D/77633,2666 MHz,,Có,,,,
Asus,Windows 11 Home,,AMD Ryzen 7,7735HS,3.2 GHz,4.7 GHz,DDR5,16 GB,SSD,512GB,16 inch,WUXGA (1920 x 1200),"16:10, 165Hz, chống chói, FreeSync Premium, 100% SRGB",AMD Radeon RX7700S,Card rời,,"1 x USB 3.2 Gen 2 Type-C
2 x USB 3.2 Gen 2 Type-A
HDMI 2.1","Wifi 802.11ax, Bluetooth 5.2",HD Webcam,,,2.2 kg,https://websosanh.vn/laptop-asus-tuf-gaming-a16-advantage-edition-fa617nt-a16r77700-amd/89631506/so-sanh.htm,laptopkiengiang.com,22500000,https://laptopkiengiang.com/san-pham/asus-tuf-gaming-a16-advantage-edition-2023-fa617nt-ryzen-7-7735hs-16gb-512gb-rx7700s-8gb-16%E2%80%B3-fhd-165hz/,laptoptcc.com,22500000,https://laptoptcc.com/asus-tuf-gaming-a16-advantage-edition-2023-fa617nt-ryzen-7-7735hs-16gb-512gb-rx7700s-8gb-16-fhd-165hz,3bcomputer.com,25390000,https://3bcomputer.com/moi-100-asus-tuf-gaming-a16-2023-ryzen-7-7735hs-rx-7700s-8gb-ram-16gb-ssd-512gb-16-fhd-165hz-fa617nt-a16-r77700/,5600 MHz,,Có,4 cell,,,8 GB
HP,Windows 10 Home,Kim loại,Intel Core i5,1035G1,1.0 GHz,3.6 GHz,DDR4,4 GB,SSD,256GB,15.6 inch,Full HD (1920 x 1080),"Tấm nền IPS, Anti-Glare",,Card rời,Bang & Olufsen audio,"2 x USB 3.1, HDMI, LAN (RJ45), USB Type-C",Bluetooth v5.0,HD Webcam,,361.6 x 245.6 x 17.6 mm,1.755 kg,https://websosanh.vn/laptop-hp-pavilion-15-cs3119tx-9fn16pa-intel-core-i5-4gb/740388805/so-sanh.htm,maytinhquanganh.com,7799000,https://maytinhquanganh.com/sp/hp-pavilion-laptop-15-cs3119tx-i5-1035g1-8gb-ram-256gb-ssd-nvidia-mx250-2gb-15-6fhd/,tinhocgiare.com,9900000,https://tinhocgiare.com/hp-15-cs3119tx-core-i7-1065g7-16g-256g-15-6in-full-hd/,laptop43.vn,10200000,https://laptop43.vn/laptop-hp-pavilion-15-cs3119tx-core-i5-1407569.html,2666 MHz,32 GB,Không,3 cell,Micro SD,Pin liền,2 GB
Lenovo,Windows 11 Home,Kim loại,AMD Ryzen 9,8945HX,2.5 GHz,5.4 GHz,DDR5,32 GB,SSD,1TB,16 inch,WQXGA (2560×1600),"IPS, 500nits",Nvidia GeForce RTX 5060,Card rời,,"USB-C
USB-A 3.2
HDMI 2.1","Wi-Fi 7 (802.11be), Bluetooth 5.4",HD Webcam,,364.38 x 275.94 x 21.9 – 26.65 mm,2.55 kg,https://websosanh.vn/laptop-lenovo-legion-r9000p-2025-amd-ryzen-9-8945hx/1119899285/so-sanh.htm,maytinhquanganh.com,32599000,https://maytinhquanganh.com/sp/lenovo-legion-5-pro-r9000p-16adr10-2025-ryzen-9-8945hx-32gb-ram-1tb-ssd-rtx-5060-8gb-16-2-5k-240hz/,xlap.vn,34590000,https://xlap.vn/sp/legion-pro-5-r9000p-2025/,mazo.vn,35000000,https://mazo.vn/san-pham/legion-pro-5-2025-r9000p-r9-8945hx-32gb-ram-1tb-ssd-rtx-5060/,5200 MHz,,Đèn nền trắng,4 cell,,,8 GB
Asus,Windows 10 Home,Kim loại,Intel Core i7,1165G7,2.8 GHz,4.7 GHz,,16 GB,SSD,1TB,14 inch,Full HD (1920 x 1080),Chống chói Anti Glare,Intel Iris Xe Graphics,Card tích hợp,Audio by Harman/Kardon,"1 x USB 3.2, 2 x Thunderbolt 4 USB-C, HDMI","Bluetooth 5.2, Wi-Fi 6 (802.11ax)",IR + HD Webcam,"Bản lề mở 180 độ, Bảo mật vân tay",320 x 203 x 14.9 mm,1.01 kg,https://websosanh.vn/laptop-asus-expertbook-b9400cea-kc0791-intel-core-i7-1165g7-16gb-ram/71866517/so-sanh.htm,quangtin.com,33390000,https://quangtin.com/products/laptop-asus-expertbook-b9400cea-kc0791-core-i7-1165g7-ram-16gb-ssd-1tb-14-inch-fhd-linux-2y-den,songphuong.vn,36990000,https://songphuong.vn/product/laptop-asus-expertbook-b9400cea-kc0791/,dienmay.xyz,36990000,https://dienmay.xyz/asus-expertbook-b9-b9400cea-kc0791,4267 MHz,,Có,4 cell,,,
HP,Windows 10 Home,Nhôm,Intel Core i7,1165G7,2.8 GHz,4.7 GHz,DDR4,8 GB,SSD,256GB,15.6 inch,Full HD (1920 x 1080),Tấm nền IPS,Intel Iris Xe Graphics,Card tích hợp,,"1x USB 3.1 Gen 2 Type-C, 3x USB 3.1 Gen 1 Type-A, 1x HDMI 1.4b","Wifi AX201, Bluetooth v5.0",HD Webcam,,359.4 x 236.7 x 19.8 mm,1.74 kg,https://websosanh.vn/laptop-hp-probook-450-g8-2h0w5pa-intel-core-i7-1165g7/270869210/so-sanh.htm,hkc.vn,23609090,https://hkc.vn/san-pham/laptop-hp-probook-450-g8-2h0w5pa/,tinhocsangtao.vn,24400000,https://tinhocsangtao.vn/san-pham/laptop-hp-probook-450-g8-2h0w5pa-i71165g7-8g-512gb-ssd-156-fhdfinger-win-10.html,vitinhsangtao.vn,24400000,https://vitinhsangtao.vn/san-pham/laptop-hp-probook-450-g8-2h0w5pa-i71165g7-8g-512gb-ssd-156-fhdfinger-win-10.html,3200 MHz,32 GB,Có,3 cell,"SD, SDHC",Pin liền,
