section,metric,value,source,notes
basic_health,rows,10080,,
basic_health,columns,48,,
basic_health,duplicate_rows,0,,
basic_health,duplicated_merged_row_id,0,,
basic_health,unique_sources,2,,
basic_health,source_values,"['chotot', 'websach']",,
basic_health,target_missing_count,0,,
basic_health,target_non_positive_count,0,,
basic_health,numeric_infinite_values,0,,
basic_health,lowest_canonical_completeness,"{'origin_clean': 0.2282738095238095, 'warranty_months': 0.24265873015873018, 'gpu_tier_v2': 0.4141865079365079, 'cpu_model_clean': 0.42787698412698416, 'cpu_type': 0.42787698412698416, 'price_spread_clean_pct': 0.43472222222222223, 'warranty_status': 0.5652777777777778, 'url': 0.5652777777777778, 'condition_clean': 0.5652777777777778, 'model_clean': 0.5652777777777778}",,
source_composition,row_count_by_source,"{'chotot': 5698, 'websach': 4382}",,
source_composition,median_target_price_by_source,"{'chotot': 7890000.0, 'websach': 21195000.0}",,
source_composition,source_median_price_ratio,2.6863117870722433,,
source_composition,source_price_shift_warning,2.6863117870722433,,Median target differs by more than 30% between sources.
target_distribution,raw_target_skew,2.7457222862215875,,
target_distribution,p95_median_ratio,3.3698792503148383,,
target_distribution,recommend_log_target,True,,
