section,metric,source,group_col,group_value,value
A_row_counts,rows,chotot,,,5698.0
A_row_counts,rows,websach,,,4382.0
B_target_summary_by_source,count,chotot,,,5698.0
B_target_summary_by_source,mean,chotot,,,10078167.951737452
B_target_summary_by_source,median,chotot,,,7890000.0
B_target_summary_by_source,std,chotot,,,7922539.147128769
B_target_summary_by_source,min,chotot,,,1000000.0
B_target_summary_by_source,p05,chotot,,,1900000.0
B_target_summary_by_source,p25,chotot,,,4700000.0
B_target_summary_by_source,p75,chotot,,,13000000.0
B_target_summary_by_source,p95,chotot,,,25990000.0
B_target_summary_by_source,max,chotot,,,59900000.0
B_target_summary_by_source,count,websach,,,4382.0
B_target_summary_by_source,mean,websach,,,26036207.52647193
B_target_summary_by_source,median,websach,,,21195000.0
B_target_summary_by_source,std,websach,,,17395915.145072088
B_target_summary_by_source,min,websach,,,3470000.0
B_target_summary_by_source,p05,websach,,,9790000.0
B_target_summary_by_source,p25,websach,,,15200000.0
B_target_summary_by_source,p75,websach,,,30990000.0
B_target_summary_by_source,p95,websach,,,57588549.99999996
B_target_summary_by_source,max,websach,,,179400000.0
C_missing_like_by_source,missing_like_rate,chotot,column,ram_gb,0.02772902772902773
C_missing_like_by_source,missing_like_count,chotot,column,ram_gb,158.0
C_missing_like_by_source,missing_like_rate,chotot,column,storage_gb,0.06177606177606178
C_missing_like_by_source,missing_like_count,chotot,column,storage_gb,352.0
C_missing_like_by_source,missing_like_rate,chotot,column,screen_size_inch,0.15654615654615656
C_missing_like_by_source,missing_like_count,chotot,column,screen_size_inch,892.0
C_missing_like_by_source,missing_like_rate,chotot,column,cpu_name_raw,0.5372060372060372
C_missing_like_by_source,missing_like_count,chotot,column,cpu_name_raw,3061.0
C_missing_like_by_source,missing_like_rate,chotot,column,cpu_type,1.0
C_missing_like_by_source,missing_like_count,chotot,column,cpu_type,5698.0
C_missing_like_by_source,missing_like_rate,chotot,column,cpu_model_clean,1.0
C_missing_like_by_source,missing_like_count,chotot,column,cpu_model_clean,5698.0
C_missing_like_by_source,missing_like_rate,chotot,column,cpu_brand,0.044928044928044926
C_missing_like_by_source,missing_like_count,chotot,column,cpu_brand,256.0
C_missing_like_by_source,missing_like_rate,chotot,column,cpu_tier,0.030537030537030538
C_missing_like_by_source,missing_like_count,chotot,column,cpu_tier,174.0
C_missing_like_by_source,missing_like_rate,chotot,column,gpu_tier,0.22937872937872938
C_missing_like_by_source,missing_like_count,chotot,column,gpu_tier,1307.0
C_missing_like_by_source,missing_like_rate,chotot,column,gpu_tier_v2,1.0
C_missing_like_by_source,missing_like_count,chotot,column,gpu_tier_v2,5698.0
C_missing_like_by_source,missing_like_rate,chotot,column,storage_type_clean,0.11267111267111267
C_missing_like_by_source,missing_like_count,chotot,column,storage_type_clean,642.0
C_missing_like_by_source,missing_like_rate,chotot,column,condition_clean,0.0
C_missing_like_by_source,missing_like_count,chotot,column,condition_clean,0.0
C_missing_like_by_source,missing_like_rate,chotot,column,warranty_status,0.0
C_missing_like_by_source,missing_like_count,chotot,column,warranty_status,0.0
C_missing_like_by_source,missing_like_rate,chotot,column,origin_clean,0.5961740961740962
C_missing_like_by_source,missing_like_count,chotot,column,origin_clean,3397.0
C_missing_like_by_source,missing_like_rate,websach,column,ram_gb,0.005248744865358284
C_missing_like_by_source,missing_like_count,websach,column,ram_gb,23.0
C_missing_like_by_source,missing_like_rate,websach,column,storage_gb,0.05134641716111365
C_missing_like_by_source,missing_like_count,websach,column,storage_gb,225.0
C_missing_like_by_source,missing_like_rate,websach,column,screen_size_inch,0.02190780465540849
C_missing_like_by_source,missing_like_count,websach,column,screen_size_inch,96.0
C_missing_like_by_source,missing_like_rate,websach,column,cpu_name_raw,0.021451392058420813
C_missing_like_by_source,missing_like_count,websach,column,cpu_name_raw,94.0
C_missing_like_by_source,missing_like_rate,websach,column,cpu_type,0.01574623459607485
C_missing_like_by_source,missing_like_count,websach,column,cpu_type,69.0
C_missing_like_by_source,missing_like_rate,websach,column,cpu_model_clean,0.01574623459607485
C_missing_like_by_source,missing_like_count,websach,column,cpu_model_clean,69.0
C_missing_like_by_source,missing_like_rate,websach,column,cpu_brand,0.020082154267457783
C_missing_like_by_source,missing_like_count,websach,column,cpu_brand,88.0
C_missing_like_by_source,missing_like_rate,websach,column,cpu_tier,0.08055682336832497
C_missing_like_by_source,missing_like_count,websach,column,cpu_tier,353.0
C_missing_like_by_source,missing_like_rate,websach,column,gpu_tier,0.047238703788224555
C_missing_like_by_source,missing_like_count,websach,column,gpu_tier,207.0
C_missing_like_by_source,missing_like_rate,websach,column,gpu_tier_v2,0.047238703788224555
C_missing_like_by_source,missing_like_count,websach,column,gpu_tier_v2,207.0
C_missing_like_by_source,missing_like_rate,websach,column,storage_type_clean,0.05066179826563213
C_missing_like_by_source,missing_like_count,websach,column,storage_type_clean,222.0
C_missing_like_by_source,missing_like_rate,websach,column,condition_clean,1.0
C_missing_like_by_source,missing_like_count,websach,column,condition_clean,4382.0
C_missing_like_by_source,missing_like_rate,websach,column,warranty_status,1.0
C_missing_like_by_source,missing_like_count,websach,column,warranty_status,4382.0
C_missing_like_by_source,missing_like_rate,websach,column,origin_clean,1.0
C_missing_like_by_source,missing_like_count,websach,column,origin_clean,4382.0
D_categorical_cardinality_by_source,n_unique,chotot,column,brand_grouped,12.0
D_categorical_cardinality_by_source,n_unique,chotot,column,model_grouped,33.0
D_categorical_cardinality_by_source,n_unique,chotot,column,cpu_name_raw,416.0
D_categorical_cardinality_by_source,n_unique,chotot,column,cpu_type,0.0
D_categorical_cardinality_by_source,n_unique,chotot,column,cpu_model_clean,0.0
D_categorical_cardinality_by_source,n_unique,chotot,column,cpu_brand,4.0
D_categorical_cardinality_by_source,n_unique,chotot,column,cpu_tier,7.0
D_categorical_cardinality_by_source,n_unique,chotot,column,gpu_tier,5.0
D_categorical_cardinality_by_source,n_unique,chotot,column,gpu_tier_v2,0.0
D_categorical_cardinality_by_source,n_unique,chotot,column,storage_type_clean,3.0
D_categorical_cardinality_by_source,n_unique,chotot,column,condition_clean,3.0
D_categorical_cardinality_by_source,n_unique,websach,column,brand_grouped,12.0
D_categorical_cardinality_by_source,n_unique,websach,column,model_grouped,1.0
D_categorical_cardinality_by_source,n_unique,websach,column,cpu_name_raw,122.0
D_categorical_cardinality_by_source,n_unique,websach,column,cpu_type,390.0
D_categorical_cardinality_by_source,n_unique,websach,column,cpu_model_clean,385.0
D_categorical_cardinality_by_source,n_unique,websach,column,cpu_brand,6.0
D_categorical_cardinality_by_source,n_unique,websach,column,cpu_tier,6.0
D_categorical_cardinality_by_source,n_unique,websach,column,gpu_tier,9.0
D_categorical_cardinality_by_source,n_unique,websach,column,gpu_tier_v2,9.0
D_categorical_cardinality_by_source,n_unique,websach,column,storage_type_clean,5.0
D_categorical_cardinality_by_source,n_unique,websach,column,condition_clean,1.0
E_top_brands_by_source,rows,chotot,brand_grouped,Dell,1797.0
E_top_brands_by_source,rank,chotot,brand_grouped,Dell,1.0
E_top_brands_by_source,rows,chotot,brand_grouped,Apple,903.0
E_top_brands_by_source,rank,chotot,brand_grouped,Apple,2.0
E_top_brands_by_source,rows,chotot,brand_grouped,Lenovo,789.0
E_top_brands_by_source,rank,chotot,brand_grouped,Lenovo,3.0
E_top_brands_by_source,rows,chotot,brand_grouped,HP,684.0
E_top_brands_by_source,rank,chotot,brand_grouped,HP,4.0
E_top_brands_by_source,rows,chotot,brand_grouped,ASUS,592.0
E_top_brands_by_source,rank,chotot,brand_grouped,ASUS,5.0
E_top_brands_by_source,rows,chotot,brand_grouped,Acer,349.0
E_top_brands_by_source,rank,chotot,brand_grouped,Acer,6.0
E_top_brands_by_source,rows,chotot,brand_grouped,MSI,191.0
E_top_brands_by_source,rank,chotot,brand_grouped,MSI,7.0
E_top_brands_by_source,rows,chotot,brand_grouped,Microsoft,177.0
E_top_brands_by_source,rank,chotot,brand_grouped,Microsoft,8.0
E_top_brands_by_source,rows,chotot,brand_grouped,Other,81.0
E_top_brands_by_source,rank,chotot,brand_grouped,Other,9.0
E_top_brands_by_source,rows,chotot,brand_grouped,Hãng khác,79.0
E_top_brands_by_source,rank,chotot,brand_grouped,Hãng khác,10.0
E_top_brands_by_source,rows,chotot,brand_grouped,Sony,30.0
E_top_brands_by_source,rank,chotot,brand_grouped,Sony,11.0
E_top_brands_by_source,rows,chotot,brand_grouped,Toshiba,26.0
E_top_brands_by_source,rank,chotot,brand_grouped,Toshiba,12.0
E_top_brands_by_source,rows,websach,brand_grouped,HP,832.0
E_top_brands_by_source,rank,websach,brand_grouped,HP,1.0
E_top_brands_by_source,rows,websach,brand_grouped,Dell,804.0
E_top_brands_by_source,rank,websach,brand_grouped,Dell,2.0
E_top_brands_by_source,rows,websach,brand_grouped,Lenovo,802.0
E_top_brands_by_source,rank,websach,brand_grouped,Lenovo,3.0
E_top_brands_by_source,rows,websach,brand_grouped,ASUS,800.0
E_top_brands_by_source,rank,websach,brand_grouped,ASUS,4.0
E_top_brands_by_source,rows,websach,brand_grouped,Acer,314.0
