shop_1_name,product_id,spec_key,brand_clean,cpu_model_clean,ram_gb_clean,storage_gb_clean,screen_size_clean,shop_2_name,shop_3_name,shop_1_price_clean,shop_2_price_clean,shop_3_price_clean,price_median,price_spread_clean_pct,flag_price_spread_warn,flag_price_spread_critical,shop_1_price_domain_outlier,shop_2_price_domain_outlier,shop_3_price_domain_outlier,shop_1_price_relative_outlier,shop_2_price_relative_outlier,shop_3_price_relative_outlier,n_prices_raw,n_prices_clean
tiki.vn,1,LG|1165G7|16.0|512.0|17.0,LG,1165G7,16.0,512.0,17.0,tinhocsangtao.vn,mixicomputer.vn,32640000.0,47500000.0,35190000.0,35190000.0,0.4222790565501563,True,False,False,False,False,False,False,False,3,3
dienmayxanh.com,18,MSI|1235U|8.0|512.0|15.6,MSI,1235U,8.0,512.0,15.6,shopee.vn,vodien.vn,11490000.0,18500000.0,9500000.0,11490000.0,0.783289817232376,True,True,False,False,False,False,False,False,3,3
hungphatlaptop.com,20,Samsung|155H|16.0|1024.0|16.0,Samsung,155H,16.0,1024.0,16.0,laptoptld.com,vanphatmobile.com,28500000.0,38990000.0,47900000.0,38990000.0,0.4975634778148243,True,False,False,False,False,False,False,False,3,3
ducvietco.com,21,HP|1165G7|8.0|512.0|14.0,HP,1165G7,8.0,512.0,14.0,mayina0.com,smnet.vn,13700000.0,19656000.0,20169000.0,19656000.0,0.3291107041107041,True,False,False,False,False,False,False,False,3,3
bachkhoayenbai.com,31,ASUS|10110U|4.0|256.0|14.0,ASUS,10110U,4.0,256.0,14.0,hoanglanpc.com.vn,thanhnhancomputer.vn,6900000.0,7499000.0,9750000.0,7499000.0,0.3800506734231231,True,False,False,False,False,False,False,False,3,3
hkc.vn,32,Dell|6800H|16.0|512.0|15.6,Dell,6800H,16.0,512.0,15.6,tinhocsangtao.vn,laptop15.vn,24470000.0,24700000.0,16900000.0,24470000.0,0.3187576624438087,True,False,False,False,False,False,False,False,3,3
cellphones.com.vn,34,Apple|8‑CORE CPU|16.0|512.0|13.6,Apple,8‑CORE CPU,16.0,512.0,13.6,bvtmobile.com,dienmayxanh.com,22990000.0,24490000.0,32290000.0,24490000.0,0.379746835443038,True,False,False,False,False,False,False,False,3,3
shopee.vn,56,ASUS|13700H|16.0|512.0|15.6,ASUS,13700H,16.0,512.0,15.6,vodien.vn,eaz.com.vn,20590000.0,15000000.0,17599000.0,17599000.0,0.3176316836183874,True,False,False,False,False,False,False,False,3,3
vodien.vn,85,ASUS|13500H|8.0|512.0|15.6,ASUS,13500H,8.0,512.0,15.6,satech.com.vn,laptopxachtay.com.vn,11500000.0,15590000.0,16390000.0,15590000.0,0.313662604233483,True,False,False,False,False,False,False,False,3,3
dienmayxanh.com,88,Lenovo|155H|32.0|1024.0|13.3,Lenovo,155H,32.0,1024.0,13.3,tnc.com.vn,khothietbi.vn,44290000.0,31490000.0,37990000.0,37990000.0,0.3369307712555935,True,False,False,False,False,False,False,False,3,3
hopthanhthinh.com,97,HP|10210U|8.0|512.0|13.3,HP,10210U,8.0,512.0,13.3,dtex.vn,focus.net.vn,13990000.0,22000000.0,22050000.0,22000000.0,0.3663636363636364,True,False,False,False,False,False,False,False,3,3
tinhocsangtao.vn,103,Dell|12850HX|16.0|512.0|16.0,Dell,12850HX,16.0,512.0,16.0,laptopk1.vn,laptopxaydung.com,52690000.0,32990000.0,37000000.0,37000000.0,0.5324324324324324,True,True,False,False,False,False,False,False,3,3
maytinhgiare.vn,110,ASUS|1005G1|4.0|512.0|14.0,ASUS,1005G1,4.0,512.0,14.0,cityapple.vn,sondat.vn,6490000.0,7590000.0,11690000.0,7590000.0,0.6851119894598156,True,True,False,False,False,False,False,False,3,3
cellphones.com.vn,120,Dell|1235U|16.0|512.0|15.6,Dell,1235U,16.0,512.0,15.6,vitinhkiengiang.com,hacom.vn,9290000.0,12290000.0,12999000.0,12290000.0,0.3017900732302685,True,False,False,False,False,False,False,False,3,3
