spec_key,group_size,median_price,min_price,max_price,unique_shop_1_names,unique_shop_2_names,unique_shop_3_names,price_range,relative_price_range
ASUS|1135G7|8.0|512.0|14.0,16,19240000.0,14990000.0,31490000.0,12,12,11,16500000.0,0.8575883575883576
ASUS|1135G7|8.0|512.0|15.6,16,17190000.0,12800000.0,21919000.0,14,13,12,9119000.0,0.5304828388598022
Lenovo|1355U|16.0|512.0|14.0,13,22900000.0,16150000.0,36499000.0,10,9,10,20349000.0,0.8886026200873363
Dell|1334U|16.0|512.0|15.6,13,16489000.0,15650000.0,19990000.0,6,10,9,4340000.0,0.2632057735460004
Dell|1235U|16.0|512.0|15.6,13,15220000.0,12290000.0,15990000.0,8,10,12,3700000.0,0.24310118265440211
ASUS|8250U|4.0|1024.0|15.6,12,13140000.0,7600000.0,16600000.0,8,7,9,9000000.0,0.684931506849315
Dell|1235U|8.0|512.0|15.6,12,13595000.0,13250000.0,17870000.0,8,9,9,4620000.0,0.3398308201544685
Dell|1355U|16.0|512.0|15.6,12,19970000.0,18499000.0,23500000.0,6,10,11,5001000.0,0.2504256384576865
HP|1235U|8.0|512.0|14.0,11,15950000.0,13000000.0,31500000.0,7,8,9,18500000.0,1.1598746081504703
Unknown|1135G7|8.0|Unknown|14.0,11,18269000.0,14490000.0,33000000.0,8,10,8,18510000.0,1.0131917455799442
HP|1355U|16.0|512.0|14.0,10,28890000.0,18990000.0,43499000.0,7,7,8,24509000.0,0.848355832467982
Lenovo|258V|32.0|1024.0|14.0,10,46249500.0,30300000.0,64590000.0,6,8,7,34290000.0,0.741413420685629
ASUS|1115G4|4.0|512.0|15.6,10,12620500.0,8470000.0,15290000.0,10,8,5,6820000.0,0.540390634285488
HP|1135G7|8.0|512.0|15.6,10,14990000.0,10990000.0,19082000.0,8,8,10,8092000.0,0.5398265510340227
Dell|1135G7|8.0|512.0|14.0,10,16774500.0,15990000.0,24000000.0,7,8,10,8010000.0,0.4775105070195833
Dell|1135G7|8.0|256.0|14.0,9,16590000.0,14790000.0,33500000.0,7,8,6,18710000.0,1.1277878239903556
HP|1335U|16.0|512.0|14.0,9,17890000.0,15390000.0,34990000.0,7,6,8,19600000.0,1.0955841252096143
ASUS|13620H|16.0|512.0|15.6,9,17660000.0,16200000.0,28990000.0,6,9,7,12790000.0,0.7242355605889015
HP|8265U|4.0|1024.0|15.6,9,13550000.0,7600000.0,15390000.0,5,6,7,7790000.0,0.5749077490774908
Lenovo|13420H|16.0|512.0|14.0,9,17490000.0,13460000.0,19990000.0,8,7,7,6530000.0,0.3733562035448828
HP|1165G7|8.0|512.0|14.0,9,20900000.0,19090000.0,23999000.0,7,7,8,4909000.0,0.2348803827751196
HP|1135G7|8.0|512.0|14.0,9,17699000.0,16695000.0,19795000.0,7,7,8,3100000.0,0.17515113848240013
Lenovo|1135G7|8.0|512.0|14.0,8,17299000.0,13550000.0,44205000.0,6,6,6,30655000.0,1.7720677495809005
HP|1165G7|8.0|512.0|15.6,8,19645000.0,10490000.0,26300000.0,6,6,6,15810000.0,0.8047849325528125
Acer|13420H|16.0|512.0|15.6,8,18740000.0,14390000.0,26990000.0,6,7,8,12600000.0,0.6723585912486659
Dell|1335U|16.0|512.0|14.0,8,18695000.0,16600000.0,27300000.0,6,8,8,10700000.0,0.5723455469376839
Acer|8250U|4.0|1024.0|15.6,8,13970000.0,8500000.0,16300000.0,6,5,6,7800000.0,0.5583392984967788
HP|1135G7|8.0|256.0|15.6,8,13740000.0,11500000.0,17650000.0,7,8,8,6150000.0,0.44759825327510916
HP|1355U|16.0|512.0|15.6,8,20245000.0,18800000.0,27299000.0,6,8,6,8499000.0,0.4198073598419363
ASUS|8250U|4.0|1024.0|14.0,8,14400000.0,12520000.0,17939000.0,3,6,5,5419000.0,0.37631944444444443
Lenovo|1235U|8.0|512.0|14.0,7,15990000.0,10310000.0,25790000.0,6,7,6,15480000.0,0.9681050656660413
Lenovo|255H|32.0|1024.0|16.0,7,39499000.0,30200000.0,64500000.0,4,6,6,34300000.0,0.8683764145927745
Lenovo|155H|16.0|512.0|16.0,7,26200000.0,22990000.0,40990000.0,7,7,7,18000000.0,0.6870229007633588
