sample_index,actual_price,predicted_price,residual,abs_error,ape_pct,model_label,ram_gb,storage_gb,condition_score,screen_size_inch,price_segment,feature__ram_gb,feature__storage_gb,feature__screen_size_inch,feature__brand_is_rare,feature__model_is_rare,feature__ram_missing,feature__storage_missing,feature__screen_missing,feature__no_info_brand,feature__no_info_model,feature__no_info_cpu_brand,feature__no_info_cpu_tier,feature__no_info_gpu,feature__storage_ssd,feature__storage_hdd,feature__no_info_storage,feature__condition_score,feature__cpu_tier_encoded,feature__brand_ASUS,feature__brand_Acer,feature__brand_Apple,feature__brand_Dell,feature__brand_HP,feature__brand_LG,feature__brand_Lenovo,feature__brand_MSI,feature__brand_Microsoft,feature__model_Aspire,feature__model_Elitebook,feature__model_Elitebook 800,feature__model_Gaming Thin GF,feature__model_IdeaPad,feature__model_Inspiron,feature__model_Latitude,feature__model_Latitude 14 7000,feature__model_Latitude E Series,feature__model_Legion,feature__model_Legion 5,feature__model_MacBook Air,feature__model_MacBook Air M1,feature__model_MacBook Air M2,feature__model_MacBook Pro,feature__model_MacBook Pro M1,feature__model_MacBook Pro M2,feature__model_Macbook air m4,feature__model_Nitro 5,feature__model_Pavilion 15,feature__model_Precision,feature__model_ProBook,feature__model_ROG Strix,feature__model_TUF Gaming,feature__model_TUF Gaming F15,feature__model_ThinkPad,feature__model_ThinkPad X1 Carbon,feature__model_Vivobook 15,feature__model_Vostro,feature__model_X Series,feature__model_XPS 13,feature__cpu_brand_AMD,feature__cpu_brand_Apple,feature__cpu_brand_Intel,feature__cpu_brand_Qualcomm,feature__cpu_family_ord_filled,feature__cpu_family_group_AMD Ryzen,feature__cpu_family_group_Apple Silicon,feature__cpu_family_group_Intel Core Ultra,feature__cpu_family_group_Intel Core i,feature__cpu_family_group_Intel Low End,feature__cpu_intel_generation_ord,feature__cpu_amd_generation_ord,feature__cpu_apple_core_spec,feature__cpu_suffix_power_ord_filled,feature__gpu_tier_ord_filled,feature__warranty_expired,feature__warranty_active,feature__warranty_not_activated,feature__ram_storage_product_scaled,feature__ram_storage_balance,feature__memory_storage_score,feature__is_entry_memory_storage,feature__is_mid_memory_storage,feature__is_premium_memory_storage,feature__brand_segment_premium,feature__brand_segment_business,feature__brand_segment_gaming_value,feature__brand_segment_rare
5913,62.0,118.17132184801252,-56.17132184801251,56.17132184801251,90.5989062064718,CatBoost_tuned,64.0,2048.0,3,16.0,Q5_high,64.0,2048.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,14,0,0,4,5,0,0,1,16.0,4.0,15.973881688030174,0,1,1,0,1,0,0
7187,50.999,98.31087502299296,-47.31187502299294,47.31187502299294,92.77020142158268,CatBoost_tuned,32.0,2048.0,3,17.0,Q5_high,32.0,2048.0,17.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,12,0,0,3,3,0,0,1,8.0,2.0,14.61812227117186,0,1,1,0,0,1,0
5661,63.05,98.22076271224545,-35.17076271224545,35.17076271224545,55.78233578468746,CatBoost_tuned,32.0,2048.0,3,17.3,Q5_high,32.0,2048.0,17.3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,12,0,0,3,3,0,0,1,8.0,2.0,14.61812227117186,0,1,1,0,0,1,0
7056,86.99,121.5170485443078,-34.52704854430782,34.52704854430782,39.69082485838352,CatBoost_tuned,64.0,2048.0,3,16.0,Q5_high,64.0,2048.0,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,14,0,0,4,4,0,0,1,16.0,4.0,15.973881688030174,0,1,1,0,0,1,0
5786,35.9,67.42398882367965,-31.52398882367965,31.52398882367965,87.81055382640572,CatBoost_tuned,32.0,0.0,3,16.0,Q5_high,32.0,0.0,16.0,0,0,0,1,0,1,1,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,12,0,0,4,3,0,0,1,0.0,0.0,6.9930151229329605,0,0,0,0,0,0,0
7118,38.2,68.54996178540887,-30.349961785408865,30.349961785408865,79.45016174190802,CatBoost_tuned,32.0,0.0,3,0.0,Q5_high,32.0,0.0,0.0,0,0,0,1,1,1,1,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,12,0,0,3,3,0,0,1,0.0,0.0,6.9930151229329605,0,0,0,0,0,0,0
6072,8.39,37.480303999047344,-29.090303999047343,29.090303999047343,346.72591178840696,CatBoost_tuned,16.0,256.0,3,15.6,Q3,16.0,256.0,15.6,0,0,0,0,0,0,1,0,0,1,1,0,0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,8,0,0,3,-1,0,0,1,0.5,0.5,11.215502773007652,0,0,0,0,1,0,0
7133,99.999,125.8051165641372,-25.8061165641372,25.8061165641372,25.80637462788348,CatBoost_tuned,64.0,2048.0,3,18.0,Q5_high,64.0,2048.0,18.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,14,0,0,4,4,0,0,1,16.0,4.0,15.973881688030174,0,1,1,0,0,1,0
7045,12.89,34.87916996898047,-21.98916996898047,21.98916996898047,170.59092295562814,CatBoost_tuned,16.0,1152.0,3,15.6,Q3,16.0,1152.0,15.6,0,0,0,0,0,0,1,0,0,0,1,1,0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,7,0,0,3,2,0,0,1,2.25,1.0,12.71654920838149,0,1,0,0,1,0,0
6410,31.29,52.77730955424874,-21.48730955424874,21.48730955424874,68.67149106503273,CatBoost_tuned,32.0,1024.0,3,16.1,Q5_high,32.0,1024.0,16.1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,14,0,0,4,4,0,0,1,4.0,2.0,13.92546301450547,0,1,1,0,1,0,0
