feature,count_nonzero_in_top_errors,pct_nonzero_in_top_errors,count_nonzero_in_all_holdout,pct_nonzero_in_all_holdout,lift
brand_LG,2,0.02,5,0.003424657534246575,5.840000000000001
is_premium_memory_storage,24,0.24,66,0.045205479452054796,5.309090909090909
cpu_family_group_Intel Core Ultra,16,0.16,50,0.03424657534246575,4.672000000000001
warranty_not_activated,73,0.73,377,0.2582191780821918,2.8270557029177716
brand_MSI,11,0.11,67,0.04589041095890411,2.3970149253731345
no_info_cpu_tier,17,0.17,112,0.07671232876712329,2.2160714285714285
no_info_brand,9,0.09,63,0.04315068493150685,2.0857142857142854
is_mid_memory_storage,73,0.73,531,0.3636986301369863,2.0071563088512243
brand_is_rare,3,0.03,23,0.015753424657534248,1.9043478260869564
brand_segment_rare,3,0.03,23,0.015753424657534248,1.9043478260869564
storage_missing,12,0.12,96,0.06575342465753424,1.8250000000000002
no_info_cpu_brand,8,0.08,65,0.04452054794520548,1.796923076923077
cpu_apple_core_spec,2,0.02,19,0.013013698630136987,1.5368421052631578
ram_missing,4,0.04,41,0.028082191780821917,1.4243902439024392
no_info_model,92,0.92,952,0.6520547945205479,1.4109243697478993
model_Precision,3,0.03,32,0.021917808219178082,1.36875
cpu_family_group_Intel Core i,54,0.54,582,0.39863013698630134,1.354639175257732
model_XPS 13,1,0.01,12,0.00821917808219178,1.2166666666666668
no_info_storage,13,0.13,156,0.10684931506849316,1.2166666666666666
cpu_family_group_AMD Ryzen,8,0.08,103,0.07054794520547945,1.133980582524272
brand_segment_gaming_value,23,0.23,316,0.21643835616438356,1.0626582278481014
brand_Lenovo,16,0.16,226,0.1547945205479452,1.033628318584071
cpu_brand_Intel,78,0.78,1142,0.7821917808219178,0.997197898423818
storage_ssd,85,0.85,1255,0.8595890410958904,0.9888446215139443
model_ThinkPad X1 Carbon,1,0.01,15,0.010273972602739725,0.9733333333333334
brand_segment_business,52,0.52,806,0.552054794520548,0.9419354838709677
brand_Microsoft,3,0.03,47,0.03219178082191781,0.9319148936170213
brand_Dell,25,0.25,392,0.2684931506849315,0.9311224489795918
cpu_brand_AMD,9,0.09,147,0.10068493150684932,0.8938775510204081
brand_HP,11,0.11,188,0.12876712328767123,0.8542553191489362
brand_segment_premium,15,0.15,257,0.17602739726027397,0.8521400778210116
storage_hdd,3,0.03,56,0.038356164383561646,0.782142857142857
cpu_family_group_Apple Silicon,5,0.05,99,0.06780821917808219,0.7373737373737375
cpu_brand_Apple,5,0.05,101,0.06917808219178082,0.7227722772277229
brand_Acer,4,0.04,82,0.056164383561643834,0.7121951219512196
brand_Apple,10,0.1,205,0.1404109589041096,0.7121951219512195
brand_ASUS,8,0.08,167,0.11438356164383562,0.6994011976047905
no_info_gpu,17,0.17,383,0.2623287671232877,0.6480417754569191
screen_missing,7,0.07,198,0.13561643835616438,0.5161616161616163
model_MacBook Pro,2,0.02,64,0.043835616438356165,0.45625
model_MacBook Air,1,0.01,35,0.023972602739726026,0.41714285714285715
warranty_active,26,0.26,995,0.6815068493150684,0.38150753768844226
warranty_expired,1,0.01,88,0.06027397260273973,0.1659090909090909
is_entry_memory_storage,6,0.06,533,0.36506849315068496,0.1643527204502814
model_is_rare,2,0.02,184,0.12602739726027398,0.15869565217391304
model_Aspire,0,0.0,8,0.005479452054794521,0.0
model_Elitebook,0,0.0,14,0.009589041095890411,0.0
model_Elitebook 800,0,0.0,8,0.005479452054794521,0.0
model_Gaming Thin GF,0,0.0,4,0.0027397260273972603,0.0
model_IdeaPad,0,0.0,3,0.002054794520547945,0.0
model_Inspiron,0,0.0,36,0.024657534246575342,0.0
model_Latitude,0,0.0,68,0.04657534246575343,0.0
model_Latitude 14 7000,0,0.0,8,0.005479452054794521,0.0
model_Latitude E Series,0,0.0,11,0.007534246575342466,0.0
model_Legion,0,0.0,7,0.004794520547945206,0.0
model_Legion 5,0,0.0,9,0.0061643835616438354,0.0
model_MacBook Air M1,0,0.0,12,0.00821917808219178,0.0
model_MacBook Air M2,0,0.0,11,0.007534246575342466,0.0
model_MacBook Pro M1,0,0.0,18,0.012328767123287671,0.0
model_MacBook Pro M2,0,0.0,7,0.004794520547945206,0.0
model_Macbook air m4,0,0.0,9,0.0061643835616438354,0.0
model_Nitro 5,0,0.0,14,0.009589041095890411,0.0
model_Pavilion 15,0,0.0,9,0.0061643835616438354,0.0
model_ProBook,0,0.0,9,0.0061643835616438354,0.0
model_ROG Strix,0,0.0,6,0.00410958904109589,0.0
model_TUF Gaming,0,0.0,9,0.0061643835616438354,0.0
model_TUF Gaming F15,0,0.0,9,0.0061643835616438354,0.0
model_ThinkPad,0,0.0,22,0.015068493150684932,0.0
model_Vivobook 15,0,0.0,6,0.00410958904109589,0.0
model_Vostro,0,0.0,21,0.014383561643835616,0.0
model_X Series,0,0.0,12,0.00821917808219178,0.0
cpu_brand_Qualcomm,0,0.0,5,0.003424657534246575,0.0
cpu_family_group_Intel Low End,0,0.0,17,0.011643835616438357,0.0
